security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Add_Plaintext,CKKS_Mult,CKKS_Mult_Plaintext,CKKS_Rotate,CKKS_Sub,CKKS_Sub_Scalar,CKKS_Add_count,CKKS_Add_Plaintext_count,CKKS_Mult_count,CKKS_Mult_Plaintext_count,CKKS_Rotate_count,CKKS_Sub_count,CKKS_Sub_Scalar_count,CKKS_Add_contribution,CKKS_Add_Plaintext_contribution,CKKS_Sub_contribution,CKKS_Sub_Scalar_contribution,CKKS_Mult_contribution,CKKS_Mult_Plaintext_contribution,CKKS_Rotate_contribution,estimated_Time
none,16,5,1,0.0003309664383561,0.0005692577319587,0.0424100833333333,0.0017294430379746,0.0388446923076923,0.0021123613445378,0.0001862174871418,5,5,5,5,5,5,5,0.015555422602736698,0.0011385154639174,0.0063370840336134,0.0007448699485672,0.2968705833333331,0.0570716202531618,1.281874846153846,1.6595929417891757
none,16,5,2,0.0011143832599118,0.0008474413793103,0.0315584374999999,0.0024067599999999,0.0278632777777777,0.0016048391167192,0.00029111328125,5,5,5,5,5,5,5,0.052376013215854604,0.0016948827586206,0.0048145173501576,0.001164453125,0.22090906249999928,0.07942307999999669,0.9194881666666641,1.279870175616293
none,16,5,4,0.0010299856850715,0.0007466505376344,0.028070947368421,0.0018990820895522,0.0242884285714285,0.0012641923076923,0.0002829818491208,5,5,5,5,5,5,5,0.0484093271983605,0.0014933010752688,0.0037925769230769,0.0011319273964832,0.196496631578947,0.0626697089552226,0.8015181428571405,1.1155116159844995
none,16,5,8,0.0009347915057915,0.0006691153846153,0.0236106086956521,0.0013612437810945,0.0192989615384615,0.0010305588235294,0.0002900519630484,5,5,5,5,5,5,5,0.0439352007722005,0.0013382307692306,0.0030916764705882,0.0011602078521936,0.1652742608695647,0.0449210447761185,0.6368657307692296,0.8965863522791258
none,16,5,16,0.0009698634615384,0.0006735261194029,0.0230544347826087,0.001251711442786,0.0192349259259259,0.001018452191235,0.0002923611751152,5,5,5,5,5,5,5,0.0455835826923048,0.0013470522388058,0.003055356573705,0.0011694447004608,0.16138104347826088,0.041306477611937994,0.6347525555555547,0.8885955128510299
none,16,5,32,0.0009779692307692,0.0007395057915057,0.0225910869565217,0.0012624825870646,0.0201349629629629,0.0009938455445544,0.0002974664705882,5,5,5,5,5,5,5,0.045964553846152396,0.0014790115830114,0.0029815366336632,0.0011898658823528,0.15813760869565188,0.0416619253731318,0.6644537777777757,0.9158682797917392
