security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Chebyshev_Series,CKKS_Mult,CKKS_Mult_Scalar,CKKS_Square,CKKS_Sub,CKKS_Sub_Scalar,CKKS_Add_count,CKKS_Chebyshev_Series_count,CKKS_Mult_count,CKKS_Mult_Scalar_count,CKKS_Square_count,CKKS_Sub_count,CKKS_Sub_Scalar_count,CKKS_Add_contribution,CKKS_Sub_contribution,CKKS_Sub_Scalar_contribution,CKKS_Mult_Scalar_contribution,CKKS_Mult_contribution,CKKS_Square_contribution,CKKS_Chebyshev_Series_contribution,estimated_Energy
none,13,10,1,0.0062560927414042,12.45,0.6793750000000001,0.013382844411437,0.663125,0.032904717853839,0.0043044747081712,3,3,3,3,3,3,3,0.43792649189829397,2.796901017576315,0.1334387159533072,0.896650575566279,78.8075,5.305,12.45,100.82741680099421
none,13,10,2,0.0180790395197598,10.805,0.556875,0.0169090077732053,0.5638709677419355,0.0263201663201663,0.0080248212031973,3,3,3,3,3,3,3,1.265532766383186,2.2372141372141354,0.24876945729911631,1.132903520804755,64.5975,4.510967741935484,10.805,84.79788762363668
none,13,10,4,0.0177534246575342,8.942,0.4684269662921348,0.0155849203264671,0.4508602150537634,0.0180715532286212,0.0080842607313195,3,3,3,3,3,3,3,1.242739726027394,1.536082024432802,0.2506120826709045,1.0441896618732958,54.33752808988764,3.606881720430107,8.942,70.96003330532216
none,13,10,8,0.0193431327514928,10.156666666666666,0.5820454545454545,0.0177712609970674,0.5463157894736842,0.0199199288256227,0.0099181188326684,3,3,3,3,3,3,3,1.354019292604496,1.6931939501779294,0.3074616838127204,1.190674486803516,67.51727272727273,4.370526315789474,10.156666666666666,86.58981512312754
none,13,10,16,0.022055283102987,10.29,0.6183870967741935,0.0200075471698113,0.6011340206185567,0.0229443207126948,0.0110922523961661,3,3,3,3,3,3,3,1.54386981720909,1.950267260579058,0.3438598242811491,1.340505660377357,71.73290322580644,4.809072164948454,10.29,92.01047795320153
none,13,10,32,0.0223619909502262,10.248333333333337,0.6252747252747252,0.0201944768572539,0.587216494845361,0.022666072224699,0.0109826707441386,3,3,3,3,3,3,3,1.5653393665158342,1.9266161390994152,0.3404627930682966,1.3530299494360112,72.53186813186812,4.697731958762888,10.248333333333337,92.6633816720839
none,13,12,1,0.0068857053877296,16.14,0.7984615384615384,0.0156054771074026,0.8010256410256411,0.0391877058177826,0.004913606911447,3,3,3,3,3,3,3,0.481999377141072,3.3309549945115213,0.15232181425485702,1.0455669661959741,92.62153846153846,6.408205128205129,16.14,120.18058674184701
none,13,12,2,0.0209982068141063,13.4,0.7036000000000001,0.0203448275862069,0.6575471698113207,0.0307416666666666,0.009440353460972,3,3,3,3,3,3,3,1.469874476987441,2.613041666666661,0.292650957290132,1.3631034482758622,81.61760000000001,5.260377358490565,13.4,106.01664790771068
none,13,12,4,0.0203836048344718,11.1475,0.5914285714285714,0.0195192307692307,0.5613888888888889,0.0221685393258426,0.0090925883167859,3,3,3,3,3,3,3,1.426852338413026,1.884325842696621,0.2818702378203629,1.3077884615384567,68.60571428571428,4.4911111111111115,11.1475,89.14516227729385
none,13,12,8,0.0243290734824281,12.166,0.6705128205128206,0.0206621961441743,0.6516049382716049,0.0260837696335078,0.0119542090656799,3,3,3,3,3,3,3,1.7030351437699671,2.2171204188481632,0.3705804810360769,1.3843671416596781,77.77948717948719,5.212839506172839,12.166,100.83342987097392
none,13,12,16,0.0282247557003257,12.4,0.7743243243243243,0.0229044117647058,0.7566233766233765,0.0281852048962213,0.0128769701246765,3,3,3,3,3,3,3,1.9757328990227991,2.3957424161788103,0.3991860738649715,1.5345955882352886,89.82162162162162,6.052987012987012,12.4,114.5798656119105
none,13,12,32,0.0279028815368196,12.731999999999998,0.7768918918918919,0.0234662828947368,0.7453846153846154,0.028513731825525,0.0129033771106941,3,3,3,3,3,3,3,1.953201707577372,2.423667205169625,0.4000046904315171,1.5722409539473656,90.11945945945946,5.963076923076923,12.731999999999998,115.16365093966226
none,13,14,1,0.0077891280554542,19.83,0.9311764705882352,0.0186016096579476,0.9535294117647056,0.0439900867410161,0.0052711761121267,3,3,3,3,3,3,3,0.5452389638817939,3.7391573729863685,0.1634064594759277,1.2463078470824893,108.01647058823528,7.628235294117645,19.83,141.1688165257795
