security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Mult,CKKS_Mult_Plaintext,CKKS_Rotate,CKKS_Add_count,CKKS_Mult_count,CKKS_Mult_Plaintext_count,CKKS_Rotate_count,CKKS_Add_contribution,CKKS_Rotate_contribution,CKKS_Mult_contribution,CKKS_Mult_Plaintext_contribution,estimated_Time
none,13,10,1,6.806981952311948e-05,0.0108102553191489,0.0002933928571428,0.0102056799999999,3,3,3,3,0.012116427875115268,1.9696962399999807,0.1729640851063824,0.0093885714285696,2.1641653244100483
none,13,10,2,0.000251216391804,0.0079608412698412,0.000561906077348,0.0072314782608695,3,3,3,3,0.044716517741112,1.3956753043478134,0.1273734603174592,0.017980994475136,1.5857462768815205
none,13,10,4,0.0002298945205479,0.0056577752808988,0.000392431174089,0.005022854368932,3,3,3,3,0.0409212246575262,0.969410893203876,0.0905244044943808,0.012557797570848,1.1134143199266309
none,13,10,8,0.0002252211538461,0.005525659090909,0.0003209358752166,0.0048728971962616,3,3,3,3,0.0400893653846058,0.9404691588784888,0.088410545454544,0.0102699480069312,1.0792390177245699
none,13,10,16,0.0002249443942133,0.0054497311827956,0.0002491649782923,0.004991294117647,3,3,3,3,0.0400401021699674,0.963319764705871,0.0871956989247296,0.0079732793053536,1.0985288451059214
none,13,10,32,0.000228128959276,0.0055106043956043,0.0002251759656652,0.0048803942307692,3,3,3,3,0.040606954751128,0.9419160865384557,0.0881696703296688,0.0072056309012864,1.0778983425205388
none,13,12,1,7.890096543132982e-05,0.0129073846153846,0.0004240845070422,0.012452487804878,3,3,3,3,0.014044371846776708,2.403330146341454,0.2065181538461536,0.0135707042253504,2.637463376259735
none,13,12,2,0.0002972330558858,0.0100775294117647,0.0006464281150159,0.009247109090909,3,3,3,3,0.0529074839476724,1.7846920545454372,0.1612404705882352,0.0206856996805088,2.019525708761854
none,13,12,4,0.0002608708487084,0.0072612608695652,0.0003823190045248,0.0065221688311688,3,3,3,3,0.046435011070095206,1.2587785844155783,0.1161801739130432,0.0122342081447936,1.4336279775435106
none,13,12,8,0.0002661758417958,0.0064427894736842,0.0003601619585687,0.0057728045977011,3,3,3,3,0.0473792998396524,1.1141512873563122,0.1030846315789472,0.0115251826741984,1.2761404014491105
none,13,12,16,0.000277342995169,0.0067980135135135,0.0002821696869851,0.0058408620689655,3,3,3,3,0.049367053140082,1.1272863793103414,0.108768216216216,0.0090294299835232,1.2944510786501626
none,13,12,32,0.0002674211093161,0.0067472105263157,0.0002607058823529,0.0058327356321839,3,3,3,3,0.0476009574582658,1.1257179770114927,0.1079553684210512,0.0083425882352928,1.2896168911261026
