security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Mult,CKKS_Mult_Plaintext,CKKS_Rotate,CKKS_Add_count,CKKS_Mult_count,CKKS_Mult_Plaintext_count,CKKS_Rotate_count,CKKS_Add_contribution,CKKS_Rotate_contribution,CKKS_Mult_contribution,CKKS_Mult_Plaintext_contribution,estimated_Energy
none,13,10,1,0.0062560927414042,0.6793750000000001,0.0174999999999999,0.6448,3,3,3,3,1.1135845079699476,124.44640000000001,10.870000000000001,0.5599999999999968,136.98998450796995
none,13,10,2,0.0180790395197598,0.556875,0.0358287292817679,0.5110144927536231,3,3,3,3,3.2180690345172445,98.62579710144925,8.91,1.1465193370165727,111.90038547298306
none,13,10,4,0.0177534246575342,0.4684269662921348,0.0325813008130081,0.4268316831683168,3,3,3,3,3.1601095890410877,82.37851485148515,7.494831460674157,1.0426016260162592,94.07605752721666
none,13,10,8,0.0193431327514928,0.5820454545454545,0.0298448275862068,0.5285046728971962,3,3,3,3,3.4430776297657184,102.00140186915885,9.312727272727273,0.9550344827586176,115.71224125441047
none,13,10,16,0.022055283102987,0.6183870967741935,0.0252966714905933,0.5684313725490197,3,3,3,3,3.925840392331686,109.7072549019608,9.894193548387095,0.8094934876989855,124.33678233037855
none,13,10,32,0.0223619909502262,0.6252747252747252,0.0244635193133047,0.5563461538461538,3,3,3,3,3.980434389140264,107.37480769230768,10.004395604395603,0.7828326180257504,122.1424703038693
none,13,12,1,0.0068857053877296,0.7984615384615384,0.0242361111111111,0.7812195121951218,3,3,3,3,1.2256555590158689,150.77536585365849,12.775384615384615,0.7755555555555552,165.5519615836145
none,13,12,2,0.0209982068141063,0.7036000000000001,0.038031746031746,0.6370909090909092,3,3,3,3,3.737680812910922,122.95854545454547,11.257600000000002,1.217015873015872,139.17084214047227
none,13,12,4,0.0203836048344718,0.5914285714285714,0.026289592760181,0.5312987012987014,3,3,3,3,3.6282816605359804,102.54064935064936,9.462857142857143,0.841266968325792,116.47305512236828
none,13,12,8,0.0243290734824281,0.6705128205128206,0.0339924670433145,0.5985057471264369,3,3,3,3,4.330575079872202,115.51160919540231,10.72820512820513,1.087758945386064,131.65814834886572
none,13,12,16,0.0282247557003257,0.7743243243243243,0.0293048973143759,0.6704597701149426,3,3,3,3,5.024006514657975,129.39873563218393,12.389189189189189,0.9377567140600288,147.7496880500911
none,13,12,32,0.0279028815368196,0.7768918918918919,0.0280286168521462,0.6848275862068965,3,3,3,3,4.966712913553889,132.17172413793102,12.43027027027027,0.8969157392686784,150.46562306102388
none,13,14,1,0.0077891280554542,0.9311764705882352,0.0298031496062992,0.8652777777777778,3,3,3,3,1.3864647938708474,166.99861111111113,14.898823529411763,0.9537007874015744,184.23760022179533
none,13,14,2,0.0233588317107093,0.7799999999999999,0.0456727272727272,0.7092156862745096,3,3,3,3,4.157872044506256,136.87862745098036,12.479999999999999,1.4615272727272703,154.97802676821388
none,13,14,4,0.0268823895457374,0.6533846153846155,0.0414606741573033,0.5664383561643836,3,3,3,3,4.785065339141257,109.32260273972605,10.454153846153847,1.3267415730337055,125.88856349805485
none,13,14,8,0.0286039360393604,0.6937500000000001,0.0369292929292929,0.6374390243902439,3,3,3,3,5.091500615006151,123.02573170731708,11.100000000000001,1.1817373737373729,140.3989696960606
none,13,14,16,0.0334790755777638,0.8155714285714286,0.0292184724689165,0.7567948717948718,3,3,3,3,5.959275452841956,146.06141025641026,13.049142857142858,0.934991119005328,166.0048196854004
none,13,14,32,0.0341587901701323,0.8361428571428571,0.0361428571428571,0.716987951807229,3,3,3,3,6.080264650283549,138.37867469879518,13.378285714285713,1.1565714285714273,158.99379649193585
