security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Chebyshev_Series,CKKS_Mult,CKKS_Mult_Scalar,CKKS_Square,CKKS_Sub,CKKS_Sub_Scalar,CKKS_Add_count,CKKS_Chebyshev_Series_count,CKKS_Mult_count,CKKS_Mult_Scalar_count,CKKS_Square_count,CKKS_Sub_count,CKKS_Sub_Scalar_count,CKKS_Add_contribution,CKKS_Sub_contribution,CKKS_Sub_Scalar_contribution,CKKS_Mult_Scalar_contribution,CKKS_Mult_contribution,CKKS_Square_contribution,CKKS_Chebyshev_Series_contribution,estimated_Time
none,13,10,1,6.806981952311948e-05,0.2026,0.0108102553191489,0.0001874502772643,0.0105036666666666,0.0004584125809435,5.0686186770428e-05,3,3,3,3,3,3,3,0.004764887366618364,0.0389650693801975,0.001571271789883268,0.0125591685767081,1.2539896170212723,0.0840293333333328,0.2026,1.5984793474680123
none,13,10,2,0.000251216391804,0.15014875,0.0079608412698412,0.0002291769547325,0.0080977903225806,0.0003422681912681,0.0001067330117449,3,3,3,3,3,3,3,0.01758514742628,0.0290927962577885,0.0033087233640919,0.0153548559670775,0.9234575873015791,0.0647823225806448,0.15014875,1.2037301828974618
none,13,10,4,0.0002298945205479,0.111186,0.0056577752808988,0.0002024982510687,0.0053455268817204,0.0002246376811594,0.0001048449920508,3,3,3,3,3,3,3,0.016092616438353,0.019094202898549,0.0032501947535748003,0.0135673828216029,0.6563019325842608,0.0427642150537632,0.111186,0.8622565445501037
none,13,10,8,0.0002252211538461,0.0966018333333333,0.005525659090909,0.0001857997795738,0.0052393645833333,0.0002224857651245,0.0001046892406331,3,3,3,3,3,3,3,0.015765480769227,0.0189112900355825,0.0032453664596260997,0.0124485852314446,0.640976454545444,0.0419149166666664,0.0966018333333333,0.8298639270413238
none,13,10,16,0.0002249443942133,0.0953458333333333,0.0054497311827956,0.0001901343396226,0.0052860721649484,0.0002287596899224,0.0001053448482428,3,3,3,3,3,3,3,0.015746107594931,0.019444573643404,0.0032656902955268,0.0127390007547142,0.6321688172042896,0.0422885773195872,0.0953458333333333,0.8209986001457861
none,13,10,32,0.000228128959276,0.0945863333333333,0.0055106043956043,0.0001954776351614,0.005183649484536,0.0002205794392523,0.0001041571865443,3,3,3,3,3,3,3,0.01596902714932,0.0187492523364455,0.0032288727828733,0.0130970015558138,0.6392301098900988,0.041469195876288,0.0945863333333333,0.8263297929241727
none,13,12,1,7.890096543132982e-05,0.262556,0.0129073846153846,0.0002178878904578,0.0129552564102564,0.0005526992316136,5.627615965480043e-05,3,3,3,3,3,3,3,0.005523067580193088,0.046979434687156,0.0017445609492988132,0.0145984886606726,1.4972566153846136,0.1036420512820512,0.262556,1.9323002185439855
none,13,12,2,0.0002972330558858,0.188182,0.0100775294117647,0.0002704754981152,0.0096119807692307,0.0004158483333333,0.0001245851742758,3,3,3,3,3,3,3,0.020806313912006,0.0353471083333305,0.0038621404025498004,0.0181218583737184,1.1689934117647052,0.0768958461538456,0.188182,1.5122086789401556
none,13,12,4,0.0002608708487084,0.13795875,0.0072612608695652,0.000224558395769,0.0071917222222222,0.0002806451247165,0.0001149655968598,3,3,3,3,3,3,3,0.018260959409588003,0.0238548356009025,0.0035639335026537997,0.015045412516523,0.8423062608695632,0.0575337777777776,0.13795875,1.098523929677008
none,13,12,8,0.0002661758417958,0.1163758,0.0064427894736842,0.000217461022632,0.006403425,0.0002708984293193,0.0001210651669758,3,3,3,3,3,3,3,0.018632308925706,0.023026366492140498,0.0037530201762498,0.014569888516344,0.7473635789473673,0.0512274,0.1163758,0.9749483630578076
none,13,12,16,0.000277342995169,0.1122592,0.0067980135135135,0.0002150784799669,0.006588922077922,0.0002704906865353,0.0001202982827569,3,3,3,3,3,3,3,0.019414009661830003,0.0229917083555005,0.0037292467654639,0.0144102581577823,0.788569567567566,0.052711376623376,0.1122592,1.0140853671315186
none,13,12,32,0.0002674211093161,0.1114897999999999,0.0067472105263157,0.0002155505756578,0.0065553717948717,0.0002766957458266,0.0001189894810659,3,3,3,3,3,3,3,0.018719477652127,0.023519138395261,0.0036886739130429,0.0144418885690726,0.7826764210526213,0.0524429743589736,0.1114897999999999,1.0069783739410982
none,13,14,1,9.185351911396926e-05,0.31682,0.0148668823529411,0.0002551096579476,0.0150658529411764,0.0006138215613382,6.198464351005484e-05,3,3,3,3,3,3,3,0.006429746337977848,0.052174832713746996,0.0019215239488116998,0.0170923470824892,1.7245583529411677,0.1205268235294112,0.31682,2.2395236265536047
none,13,14,2,0.0003508421418636,0.2331889999999999,0.0109347872340425,0.0003194629171817,0.0103409166666666,0.0004916699029126,0.0001448779395296,3,3,3,3,3,3,3,0.024558949930452,0.041791941747571,0.0044912161254176,0.021404015451173902,1.26843531914893,0.0827273333333328,0.2331889999999999,1.676597775736877
none,13,14,4,0.0003266745488487,0.1703686666666666,0.0078061269841269,0.0002588156943727,0.0076652835820895,0.0003273213610586,0.0001347907594264,3,3,3,3,3,3,3,0.022867218419409,0.027822315689981,0.0041785135422183995,0.017340651522970898,0.9055107301587204,0.061322268656716,0.1703686666666666,1.2094103646566823
none,13,14,8,0.0003182023370233,0.14318975,0.006739054054054,0.00023287752229,0.0065149605263157,0.000314328867235,0.0001332014767932,3,3,3,3,3,3,3,0.022274163591631,0.026717953714975002,0.0041292457805892,0.01560279399343,0.7817302702702641,0.0521196842105256,0.14318975,1.0457638615614149
none,13,14,16,0.0003145302935665,0.13895975,0.0071229428571428,0.0002330368470149,0.0073987142857142,0.0003180590428837,0.0001359151905528,3,3,3,3,3,3,3,0.022017120549655,0.0270350186451145,0.004213370907136801,0.0156134687499983,0.8262613714285647,0.0591897142857136,0.13895975,1.093289814566183
none,13,14,32,0.0003193835616438,0.13425725,0.007228028169014,0.0002359921514312,0.006741602739726,0.0003126104542626,0.0001392522231204,3,3,3,3,3,3,3,0.022356849315066,0.026571888612320998,0.0043168189167324,0.0158114741458904,0.8384512676056239,0.053932821917808,0.13425725,1.0956983705134418
none,13,16,1,0.0001022602463153,0.3869634999999999,0.0179248965517241,0.0002722145615002,0.0170131666666666,0.0007142853107344,6.612895987328406e-05,3,3,3,3,3,3,3,0.007158217242071,0.060714251412423995,0.002049997756071806,0.018238375620513402,2.0792879999999956,0.1361053333333328,0.3869634999999999,2.6905176753644082
none,13,16,2,0.0003957032967032,0.2735284999999999,0.0127311,0.0003517148788927,0.0117070714285714,0.0005723831460674,0.000154383338553,3,3,3,3,3,3,3,0.027699230769224,0.048652567415729,0.004785883495143,0.0235648968858109,1.4768076,0.0936565714285712,0.2735284999999999,1.9486952499944779
none,13,16,4,0.0003481892265193,0.1998896666666666,0.0092434363636363,0.0002899465605457,0.0087004137931034,0.0003930602032838,0.0001522632200886,3,3,3,3,3,3,3,0.024373245856351,0.033410117279123,0.0047201598227466,0.0194264195565619,1.0722386181818109,0.0696033103448272,0.1998896666666666,1.4236615377080872
none,13,16,8,0.0003494769874476,0.1639,0.007965746031746,0.0002591060527677,0.0075167313432835,0.0003457645847632,0.0001504666666666,3,3,3,3,3,3,3,0.024463389121332002,0.029389989704872003,0.0046644666666646,0.017360105535435898,0.9240265396825359,0.060133850746268,0.1639,1.2239383414571083
none,13,16,16,0.0003565533428165,0.15512925,0.0087721929824561,0.0002668208797032,0.0080842857142857,0.0003495605953224,0.0001565224514563,3,3,3,3,3,3,3,0.024958733997155,0.029712650602404,0.0048521959951453,0.0178769989401144,1.0175743859649078,0.0646742857142856,0.15512925,1.314778501214012
none,13,16,32,0.0003819734042553,0.1607394999999999,0.0091248571428571,0.0002767391076115,0.0084320847457627,0.0003725364387678,0.0001589475460122,3,3,3,3,3,3,3,0.026738138297871,0.031665597295263,0.0049273739263781995,0.018541520209970498,1.0584834285714235,0.0674566779661016,0.1607394999999999,1.3685522362670077
none,13,18,1,0.0001150050377833,0.434328,0.0192768148148148,0.0003077007389162,0.0186812962962963,0.0008441833333333,7.491549716333236e-05,3,3,3,3,3,3,3,0.008050352644831,0.0717555833333305,0.0023223804120633034,0.0206159495073854,2.2361105185185166,0.1494503703703704,0.434328,2.9226331547864968
none,13,18,2,0.0004563779946761,0.304295,0.0138113611111111,0.0003869891891891,0.0133288157894736,0.000623819201995,0.0001764938704028,3,3,3,3,3,3,3,0.031946459627327,0.053024632169575,0.0054713099824868,0.0259282756756697,1.6021178888888876,0.1066305263157888,0.304295,2.1294140926597347
none,13,18,4,0.0004018415605095,0.2286756666666667,0.0104343529411764,0.000328514450867,0.009736923076923,0.0004388272650296,0.0001703547207446,3,3,3,3,3,3,3,0.028128909235665,0.037300317527516,0.0052809963430826,0.022010468208089,1.2103849411764624,0.077895384615384,0.2286756666666667,1.6096766837728658
none,13,18,8,0.0004172278177458,0.1804536666666666,0.0084298,0.000302476904619,0.0081647936507936,0.0004019920697858,0.0001677715133531,3,3,3,3,3,3,3,0.029205947242206,0.034169325931793004,0.0052009169139461,0.020265952609473,0.9778568,0.0653183492063488,0.1804536666666666,1.3124709585704333
none,13,18,16,0.0004166836653386,0.174314,0.0090245263157894,0.0002998255675029,0.0084644666666666,0.0004037210610932,0.000171033795201,3,3,3,3,3,3,3,0.029167856573702,0.034316290192922,0.005302047651231,0.0200883130226943,1.0468450526315705,0.0677157333333328,0.174314,1.3777492934054527
none,13,18,32,0.0004448761904761,0.1848446666666666,0.0097965576923076,0.0003110731857318,0.0093662592592592,0.0004213796928327,0.0001820981308411,3,3,3,3,3,3,3,0.031141333333326998,0.0358172738907795,0.0056450420560741,0.0208419034440306,1.1364006923076815,0.0749300740740736,0.1848446666666666,1.489620985772633
none,13,20,1,0.0001266894790602,0.5120059999999999,0.0209324166666666,0.0003504419087136,0.0205000399999999,0.0009556832412523,8.279531880548831e-05,3,3,3,3,3,3,3,0.008868263534213999,0.0812330755064455,0.002566654882970138,0.023479607883811197,2.4281603333333255,0.1640003199999992,0.5120059999999999,3.2203142551407655
none,13,20,2,0.0004884853228962,0.3542789999999999,0.0154093529411764,0.000430806779661,0.0150198235294117,0.000707281512605,0.0001901184159938,3,3,3,3,3,3,3,0.034193972602734,0.06011892857142501,0.0058936708958078005,0.028864054237287,1.7874849411764624,0.1201585882352936,0.3542789999999999,2.39099315571901
none,13,20,4,0.0004206669565217,0.2605475,0.0114115869565217,0.0003517649098474,0.0104976458333333,0.0005172454545454,0.0001882960288808,3,3,3,3,3,3,3,0.029446686956519,0.043965863636358994,0.0058371768953048,0.0235682489597758,1.3237440869565171,0.0839811666666664,0.2605475,1.771090730071142
none,13,20,8,0.0004433418502202,0.2073249999999999,0.0092200714285714,0.0003337370466321,0.0088550344827586,0.0004444445407279,0.0001737015895953,3,3,3,3,3,3,3,0.031033929515414,0.0377777859618715,0.0053847492774543,0.0223603821243507,1.0695282857142825,0.0708402758620688,0.2073249999999999,1.4442504084554417
none,13,20,16,0.0004552631578947,0.2106726666666666,0.0098133725490196,0.0003250707395498,0.0091114629629629,0.0004416466905187,0.0001934964749536,3,3,3,3,3,3,3,0.031868421052629,0.0375399686940895,0.0059983907235616,0.0217797395498366,1.1383512156862736,0.0728917037037032,0.2106726666666666,1.51910210607676
none,13,20,32,0.0004728855250709,0.2181163333333333,0.0107274255319148,0.0003310545575515,0.0108906086956521,0.0004684485981308,0.0002004691999999,3,3,3,3,3,3,3,0.033101986754963,0.039818130841118,0.006214545199996899,0.0221806553559505,1.2443813617021167,0.0871248695652168,0.2181163333333333,1.650937882752695
none,14,10,1,0.0001370069821567,0.4268799999999999,0.0233900909090909,0.0003612557471264,0.022198304347826,0.0009184277673545,8.460131578947367e-05,3,3,3,3,3,3,3,0.009590488750969,0.0780663602251325,0.0026226407894736838,0.024204135057468802,2.713250545454544,0.177586434782608,0.4268799999999999,3.4322006050601956
none,14,10,2,0.0001369601487778,0.3036335,0.0166356999999999,0.0004318524046434,0.016044064516129,0.0007489133627019,0.0001906614699331,3,3,3,3,3,3,3,0.009587210414445999,0.0636576358296615,0.0059105055679261,0.0289341111111078,1.9297411999999883,0.128352516129032,0.3036335,2.469816679052162
none,14,10,4,0.0004425946902654,0.2234916666666666,0.0115582558139534,0.0003486948190205,0.0115275909090909,0.0005131145113524,0.0001812887776983,3,3,3,3,3,3,3,0.030981628318578,0.043614733464954,0.0056199521086473005,0.0233625528743735,1.3407576744185943,0.0922207272727272,0.2234916666666666,1.7600489351245407
none,14,10,8,0.0004487267857142,0.194878,0.0112338695652173,0.0003397643908969,0.0106976326530612,0.0004686455463728,0.0001834313304721,3,3,3,3,3,3,3,0.031410874999994,0.039834871441688,0.0056863712446351,0.0227642141900923,1.3031288695652068,0.0855810612244896,0.194878,1.6832842626661058
none,14,10,16,0.0004281191489361,0.18479,0.0109979130434782,0.0003319192740926,0.0104296875,0.0004569999999999,0.0001788566333808,3,3,3,3,3,3,3,0.029968340425527002,0.0388449999999915,0.0055445556348048,0.0222385913642042,1.2757579130434713,0.0834375,0.18479,1.640581900467999
none,14,10,32,0.0004300358078602,0.1874726666666666,0.0111604680851063,0.0003222271016311,0.0101977291666666,0.0004310656303972,0.000187574005891,3,3,3,3,3,3,3,0.030102506550214,0.036640578583762,0.005814794182621001,0.021589215809283697,1.2946142978723307,0.0815818333333328,0.1874726666666666,1.657815892998211
none,14,12,1,0.0001611915829145,0.5595739999999999,0.0293202222222222,0.0004132219387755,0.0278753157894736,0.0011470913140311,9.125286492579376e-05,3,3,3,3,3,3,3,0.011283410804015,0.0975027616926435,0.0028288388126996066,0.0276858698979585,3.401145777777775,0.2230025263157888,0.5595739999999999,4.3230231853008805
