security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Mult,CKKS_Mult_Plaintext,CKKS_Rotate,CKKS_Add_count,CKKS_Mult_count,CKKS_Mult_Plaintext_count,CKKS_Rotate_count,CKKS_Add_contribution,CKKS_Mult_Plaintext_contribution,CKKS_Rotate_contribution,CKKS_Mult_contribution,estimated_Energy
none,16,3,1,0.0184037900874635,1.0825,0.0428169014084507,0.9940909090909092,5,5,5,5,1.4907069970845437,0.3425352112676056,78.53318181818183,12.99,93.35642402653397
none,16,3,2,0.0226472781506338,0.7983333333333333,0.0294323144104803,0.7291176470588236,5,5,5,5,1.8344295302013378,0.2354585152838424,57.60029411764707,9.58,69.25018216313225
none,16,3,4,0.0258114812189936,1.056774193548387,0.0426934984520123,0.9381818181818184,5,5,5,5,2.090729978738482,0.3415479876160984,74.11636363636366,12.681290322580644,89.22993192529887
none,16,3,8,0.0266283249460819,1.2183333333333333,0.0423076923076922,1.105294117647059,5,5,5,5,2.1568943206326336,0.3384615384615376,87.31823529411766,14.62,104.43359115321184
none,16,3,16,0.0252602739726027,1.2451612903225806,0.0429239766081871,1.091470588235294,5,5,5,5,2.0460821917808185,0.3433918128654968,86.22617647058823,14.941935483870967,103.55758595910551
none,16,3,32,0.0259477124183006,1.3193548387096774,0.0435190615835777,1.1491176470588236,5,5,5,5,2.1017647058823488,0.3481524926686216,90.78029411764706,15.832258064516129,109.06246938071415
none,16,6,1,0.0333923303834808,2.1388888888888884,0.0817948717948717,1.891,5,5,5,5,2.7047787610619447,0.6543589743589736,149.389,25.66666666666666,178.41480440208758
none,16,6,2,0.0376453900709219,1.968461538461538,0.0740833333333333,1.7564285714285717,5,5,5,5,3.049276595744674,0.5926666666666665,138.75785714285718,23.621538461538456,166.02133886680696
none,16,6,4,0.0435424836601307,2.3742857142857146,0.0851149425287356,2.214375,5,5,5,5,3.526941176470587,0.6809195402298848,174.935625,28.491428571428575,207.63491428812904
none,16,6,8,0.0556835443037974,2.8720000000000003,0.0905645161290322,2.521176470588236,5,5,5,5,4.510367088607589,0.7245161290322576,199.17294117647066,34.464000000000006,238.8718243941105
none,16,6,16,0.0578617157490396,2.987333333333333,0.09436,2.7435294117647056,5,5,5,5,4.6867989756722075,0.75488,216.73882352941175,35.848,258.02850250508396
none,16,6,32,0.0570775095298602,2.945333333333333,0.0975,2.6143750000000003,5,5,5,5,4.623278271918676,0.78,206.53562500000004,35.343999999999994,247.2829032719187
