security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Mult,CKKS_Mult_Plaintext,CKKS_Rotate,CKKS_Add_count,CKKS_Mult_count,CKKS_Mult_Plaintext_count,CKKS_Rotate_count,CKKS_Add_contribution,CKKS_Rotate_contribution,CKKS_Mult_contribution,CKKS_Mult_Plaintext_contribution,estimated_Energy
none,13,10,1,0.006181196838281967,0.690642730496454,0.015898821159883832,0.6478666666666667,3,3,3,3,1.10025303721419,125.03826666666667,11.050283687943264,0.5087622771162826,137.69756566894043
none,13,10,2,0.018567471304752267,0.5552017195767196,0.0359165232704722,0.5111594202898551,3,3,3,3,3.3050098922459035,98.65376811594203,8.883227513227514,1.1493287446551104,111.99133426607055
none,13,10,4,0.017863709224385,0.46236620890553476,0.03310496245222893,0.4290592457303983,3,3,3,3,3.1797402419405296,82.80843442596687,7.397859342488556,1.0593587984713257,94.44539280886728
none,13,10,8,0.019763482556330366,0.5797514152514153,0.02874099047988313,0.5255855383945148,3,3,3,3,3.517899895026805,101.43800891014136,9.276022644022644,0.9197116953562602,115.15164314454707
none,13,10,16,0.022385719222191135,0.6213507202922526,0.025321757209139702,0.5543931935052097,3,3,3,3,3.9846580215500222,106.99788634650547,9.941611524676041,0.8102962306924705,121.734452123424
none,13,10,32,0.0222093750973878,0.6156047852856363,0.02299713061637987,0.5645653846153845,3,3,3,3,3.9532687673350284,108.96111923076921,9.849676564570181,0.7359081797241558,123.4999727423986
none,13,12,1,0.006821757311400701,0.8017948717948716,0.0249096896191966,0.7751471157568718,3,3,3,3,1.2142728014293247,149.60339334107624,12.828717948717946,0.7971100678142912,164.4434941590378
none,13,12,2,0.016386468282930302,0.6934117647058824,0.0379914126815085,0.6387272727272727,3,3,3,3,2.9167913543615938,123.27436363636363,11.094588235294118,1.215725205808272,138.50146843182762
none,13,12,4,0.020381261585270632,0.597287784679089,0.027396829827502068,0.529877344877345,3,3,3,3,3.6278645621781727,102.26632756132757,9.556604554865425,0.8766985544800662,116.32749523285125
none,13,12,8,0.02446003057435023,0.6710237049943912,0.033738224559550466,0.6083624854239548,3,3,3,3,4.353885442234342,117.41395968682328,10.73637927991026,1.079623185905615,133.58384759487348
