security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Mult,CKKS_Mult_Plaintext,CKKS_Rotate,CKKS_Add_count,CKKS_Mult_count,CKKS_Mult_Plaintext_count,CKKS_Rotate_count,CKKS_Add_contribution,CKKS_Rotate_contribution,CKKS_Mult_contribution,CKKS_Mult_Plaintext_contribution,estimated_Time
none,13,10,1,6.810384259508552e-05,0.010750820330969232,0.00029712651247806664,0.010179699999999967,3,3,3,3,0.012122483981925223,1.9646820999999937,0.17201312529550772,0.009508048399298133,2.1583257576767245
none,13,10,2,0.000251442052661,0.0079532047784391,0.0005353790695362333,0.007267415458937133,3,3,3,3,0.044756685373658005,1.4026111835748667,0.1272512764550256,0.017132130225159466,1.5917512756287098
none,13,10,4,0.0002332214807342,0.005641107823553833,0.0003975806509109,0.005018743535518567,3,3,3,3,0.041513423570687595,0.9686175023550835,0.09025772517686133,0.0127225808291488,1.1131112319317813
none,13,10,8,0.00022714863461286667,0.0054959974104841665,0.00031490284397646666,0.0048916450390300665,3,3,3,3,0.04043245696109027,0.9440874925328029,0.08793595856774666,0.010076891007246933,1.0825327990688867
none,13,10,16,0.00022444828767950002,0.0054745265801626,0.0002442523487226333,0.004870475470180767,3,3,3,3,0.039951795206951,0.9400017657448879,0.0875924252826016,0.007816075159124266,1.0753620613935648
none,13,10,32,0.00022682129133643335,0.005442379861273434,0.0002232880405608,0.004968410256410201,3,3,3,3,0.040374189857885136,0.9589031794871687,0.08707807778037495,0.0071452172979456,1.0935006644233745
none,13,12,1,7.978767548675373e-05,0.012891025641025601,0.0004094633541992,0.0123525751064653,3,3,3,3,0.014202206236642164,2.384046995547803,0.20625641025640962,0.0131028273343744,2.617608439375229
none,13,12,2,0.0002254648498435503,0.0100782098039215,0.0006399729364233666,0.009289024242424166,3,3,3,3,0.04013274327215195,1.7927816787878639,0.161251356862744,0.020479133965547732,2.0146449128883077
none,13,12,4,0.0002630146043536,0.0073016574189095325,0.0003843167175805,0.006505133200133167,3,3,3,3,0.0468165995749408,1.2554907076257011,0.11682651870255252,0.012298134962576,1.4314319608657704
none,13,12,8,0.0002679587588851667,0.006431760344955201,0.00036255555734756667,0.005719158670664633,3,3,3,3,0.04769665908155967,1.1037976234382743,0.10290816551928321,0.011601777835122134,1.2660042258742392
none,13,12,16,0.0002763437802061667,0.0067393289489489005,0.0002839549143259,0.0058380079240682335,3,3,3,3,0.049189192876697665,1.126735529345169,0.10782926318318241,0.0090865572584288,1.292840542663478
none,13,12,32,0.0002669037004206333,0.0067413279990516,0.00027244266419636665,0.005826743295019101,3,3,3,3,0.04750885867487273,1.1245614559386865,0.1078612479848256,0.008718165254283733,1.2886497278526685
none,13,14,1,9.099626452683695e-05,0.014741945938375266,0.00048722351347643336,0.013853440084821601,3,3,3,3,0.016197335085776976,2.673713936370569,0.23587113501400425,0.015591152431245868,2.941373558901596
none,13,14,2,0.00034493533215296663,0.010882425531914833,0.0007591280645014,0.0099567516339869,3,3,3,3,0.06139848912322806,1.9216530653594714,0.17411880851063732,0.0242920980640448,2.1814624610573814
none,13,14,4,0.0003583400603645,0.0078094289466320325,0.0005572653209882333,0.006896141120572567,3,3,3,3,0.063784530744881,1.3309552362705055,0.12495086314611252,0.017832490271623466,1.5375231204331223
none,13,14,8,0.0003180586562761667,0.006739005795795766,0.0003706175667430667,0.0060496434549429,3,3,3,3,0.05661444081715767,1.1675811868039796,0.10782409273273226,0.011859762135778135,1.3438794824896476
none,13,14,16,0.0003161980658223,0.007122747619047566,0.0002763427905331333,0.006465436490978134,3,3,3,3,0.0562832557163694,1.2478292427587798,0.11396396190476106,0.008842969297060266,1.4269194296769705
none,13,14,32,0.0003135393893621667,0.0072849474849094,0.00031791044973536665,0.0061046245736187,3,3,3,3,0.05581001130646567,1.178192542708409,0.1165591597585504,0.010173134391531733,1.3607348481649568
none,13,16,1,0.00010189105665506667,0.0175938505747126,0.0005512615004956667,0.016176459677419302,3,3,3,3,0.018136608084601866,3.122056717741925,0.2815016091954016,0.017640368015861333,3.4393353030377902
none,13,16,2,0.00039451251242166664,0.012744541666666666,0.0008541277975157,0.011311014814814765,3,3,3,3,0.07022322721105666,2.1830258592592497,0.20391266666666666,0.0273320895205024,2.4844938426574754
none,13,16,4,0.00034574706762553336,0.009814454316979268,0.0005744812023284334,0.0082972857394676,3,3,3,3,0.06154297803734494,1.6013761477172468,0.15703126907166828,0.018383398474509868,1.8383337933007697
none,13,16,8,0.0003495161751246,0.008034343915343899,0.00039088862950986664,0.006757429481695067,3,3,3,3,0.0622138791721788,1.304183889967148,0.12854950264550238,0.012508436144315732,1.507455707929145
none,13,16,16,0.00035528445247983337,0.008618575438596433,0.0003466600567220333,0.0075997828973074335,3,3,3,3,0.06324063254141034,1.4667580991803346,0.13789720701754293,0.011093121815105066,1.678989060554393
none,13,16,32,0.0003863136210734,0.009196655411255366,0.00034595667854130004,0.007965348958333333,3,3,3,3,0.06876382455106521,1.5373123489583334,0.14714648658008586,0.011070613713321601,1.7642932738028059
none,13,18,1,0.00011529795240343333,0.019139715574548865,0.0006201341708125333,0.018228557471264336,3,3,3,3,0.020523035527811134,3.5181115919540167,0.30623544919278184,0.019844293466001067,3.864714370140611
none,13,18,2,0.0004587872062517,0.013806372622622598,0.0010383378582201667,0.012762225,3,3,3,3,0.0816641227128026,2.463109425,0.22090196196196157,0.03322681146304533,2.7989023211378092
none,13,18,4,0.0004026755624729333,0.010360633986928066,0.0006894097427130666,0.0089727336156483,3,3,3,3,0.07167625012018213,1.7317375878201218,0.16577014379084906,0.02206111176681813,1.991245093497971
none,13,18,8,0.0003487916069179334,0.008493083544076734,0.0005180841585497334,0.007249859468576134,3,3,3,3,0.06208490603139214,1.3992228774351938,0.13588933670522774,0.016578693073591468,1.6137758132454052
none,13,18,16,0.00041353655089026666,0.009042352170198166,0.0004440040372577,0.0077363087801087345,3,3,3,3,0.07360950605846747,1.4931075945609857,0.14467763472317066,0.0142081291922464,1.7256028645348702
none,13,18,32,0.00048008992510106666,0.009772593137254867,0.0004450141503468667,0.0086985367231638,3,3,3,3,0.08545600666798987,1.6788175875706133,0.15636149019607787,0.014240452811099735,1.9348755372457809
none,13,20,1,0.00012727332177036666,0.021076499999999932,0.0006820681377445333,0.020112858974358935,3,3,3,3,0.022654651275125264,3.8817817820512746,0.3372239999999989,0.021826180407825066,4.263486613734224
none,13,20,2,0.0004873600278155667,0.0153047923351158,0.0011797724242424,0.013622783783783766,3,3,3,3,0.08675008495117087,2.629197270270267,0.2448766773618528,0.0377527175757568,2.9985767501590477
none,13,20,4,0.0004029115977817,0.011392485507246334,0.0007378865292504,0.009261722783389367,3,3,3,3,0.0717182644051426,1.7875124971941478,0.18227976811594135,0.0236123689360128,2.0651228986512447
none,13,20,8,0.0004421623739404,0.009223279004328967,0.0005452376407942333,0.007825617829739633,3,3,3,3,0.07870490256139119,1.5103442411397492,0.14757246406926347,0.017447604505415465,1.7540692122758195
none,13,20,16,0.00045297661442003336,0.009720344308792666,0.0003795129813912667,0.008333099418297166,3,3,3,3,0.08062983736676593,1.608288187731353,0.15552550894068265,0.012144415404520534,1.8565879494433222
none,13,20,32,0.00047683467473856665,0.010916562777949,0.00045933836860669996,0.009223001372212632,3,3,3,3,0.08487657210346486,1.780039264837038,0.174665004447184,0.014698827795414399,2.054279669183101
none,14,10,1,0.00013346372601323334,0.023460257575757565,0.0008580694243926334,0.021849268719806702,3,3,3,3,0.023756543230355535,4.216908862922693,0.37536412121212104,0.027458221580564268,4.643487748945733
none,14,10,2,0.0002495251706237,0.016706599999999933,0.0011379645802187333,0.01609220454545453,3,3,3,3,0.044415480371018605,3.1057954772727245,0.2673055999999989,0.036414866566999465,3.4539314242107415
none,14,10,4,0.00044424771520440003,0.011682892580287867,0.0007663025352459668,0.0101502511337868,3,3,3,3,0.07907609330638321,1.9589984688208524,0.18692628128460587,0.024521681127870936,2.2495225245397124
none,14,10,8,0.00044989713171969997,0.011252656843800266,0.0006323484071262,0.009772389391654066,3,3,3,3,0.0800816894461066,1.8860711525892349,0.18004250950080425,0.0202351490280384,2.166430500564184
none,14,10,16,0.00043185243889033335,0.011391489049919434,0.0005095222056231333,0.009477834963894633,3,3,3,3,0.07686973412247934,1.8292221480316642,0.18226382479871095,0.016304710579940266,2.1046604175327945
none,14,10,32,0.0004546767832541,0.011229098057354234,0.00047667556198186667,0.009551872386174234,3,3,3,3,0.0809324674192298,1.8435113705316273,0.17966556891766775,0.015253617983419733,2.119363024851945
none,14,12,1,0.0001592802455336,0.02943175925925923,0.0007934553338493,0.026959070175438568,3,3,3,3,0.0283518837049808,5.203100543859644,0.4709081481481477,0.0253905706831776,5.72775114639595
none,14,12,2,0.0004816180348837667,0.02103312499999993,0.0013037903323998002,0.019589385090218365,3,3,3,3,0.08572801020931047,3.7807513224121445,0.3365299999999989,0.041721290636793605,4.244730623258247
none,14,12,4,0.0005295224288928333,0.0172482051301189,0.0008442272075207333,0.013556916166166099,3,3,3,3,0.09425499234292432,2.616484820070057,0.2759712820819024,0.027015270640663464,3.0137263651355473
none,14,12,8,0.0005676161216621333,0.013420226173541902,0.0006873514936860335,0.011508310253699734,3,3,3,3,0.10103566965585974,2.2211038789640485,0.21472361877667043,0.02199524779795307,2.558858415194532
none,14,12,16,0.0005460608552979334,0.013740202228544267,0.0005288667426387333,0.011654962121212066,3,3,3,3,0.09719883224303215,2.2494076893939288,0.21984323565670827,0.016923735764439465,2.5833734930581085
none,14,12,32,0.0005324808276586001,0.0132373333333333,0.0005899240954693333,0.0117954686398872,3,3,3,3,0.09478158732323082,2.2765254474982295,0.2117973333333328,0.018877571055018666,2.6019819392098116
none,14,14,1,0.0001883758539356,0.0315627291666666,0.0010623200077699666,0.030608490196078367,3,3,3,3,0.0335309020005368,5.907438607843125,0.5050036666666656,0.03399424024863893,6.479967416758966
none,14,14,2,0.0006871097393689334,0.0232900757575757,0.0015072335739235668,0.0220320006038647,3,3,3,3,0.12230553360767014,4.252176116545887,0.3726412121212112,0.04823147436555414,4.795354336640322
none,14,14,4,0.0006274029747643668,0.0167192444444444,0.0010665524567247666,0.01575130362448003,3,3,3,3,0.11167772950805728,3.040001599524646,0.2675079111111104,0.03412967861519253,3.4533169187590063
none,14,14,8,0.0005925772823424,0.015297692589763134,0.0007328708833154999,0.012243666705381268,3,3,3,3,0.10547875625694719,2.3630276741385847,0.24476308143621014,0.023451868266095997,2.736721380097838
none,14,14,16,0.0006355440861543334,0.015069951803751735,0.0006893660058722,0.012569920838682034,3,3,3,3,0.11312684733547135,2.4259947218656324,0.24111922886002776,0.0220597121879104,2.802300510249042
none,14,14,32,0.0006457614153260999,0.015512725490196033,0.0006032622969712333,0.012392283130081267,3,3,3,3,0.11494553192804578,2.3917106441056846,0.24820360784313653,0.019304393503079467,2.774164177379946
none,14,16,1,0.00021857807420076669,0.03764745238095233,0.0012725991381391333,0.03515097777777773,3,3,3,3,0.03890689720773647,6.784138711111102,0.6023592380952373,0.040723172420452265,7.466128018834528
none,14,16,2,0.0007821645181109333,0.027273298245614,0.0019584135338345334,0.024162365079365034,3,3,3,3,0.13922528422374614,4.663336460317452,0.436372771929824,0.06266923308270507,5.301603749553727
none,14,16,4,0.0006942812596651667,0.021648166111111034,0.0012579205197410669,0.0179332754515599,3,3,3,3,0.12358206422039968,3.4611221621510606,0.34637065777777654,0.04025345663171414,3.9713283407809508
none,14,16,8,0.0006700472882550666,0.01693901111111103,0.0007228798709692,0.014694082836082768,3,3,3,3,0.11926841730940187,2.835957987363974,0.2710241777777765,0.0231321558710144,3.249382738322167
none,14,16,16,0.0005612770498708,0.017308844444444398,0.0006744739737258001,0.015099468154761833,3,3,3,3,0.0999073148770024,2.914197353869034,0.27694151111111037,0.021583167159225602,3.312629347016372
none,14,16,32,0.0007052307905087,0.01756149548440063,0.0007035503397826667,0.0148630297088532,3,3,3,3,0.1255310807105486,2.8685647338086677,0.2809839277504101,0.022513610873045334,3.297593353142672
none,14,18,1,0.00025634696267866667,0.041790844017093966,0.0012598483704768333,0.039145666666666634,3,3,3,3,0.04562975935680267,7.55511366666666,0.6686535042735035,0.040315147855258665,8.309712078152224
none,14,18,2,0.0006651015310915999,0.028930119825707996,0.0019365235209772332,0.028547417153996068,3,3,3,3,0.11838807253430479,5.509651510721241,0.46288191721132793,0.061968752671271464,6.152890253138145
none,14,18,4,0.0007909993899525,0.022082249999999966,0.0012805844024678,0.018956771604938232,3,3,3,3,0.140797891411545,3.6586569197530787,0.35331599999999946,0.0409787008789696,4.193749512043593
none,14,18,8,0.0008045742455232,0.0186386071428571,0.0010259184549355667,0.016012334911616133,3,3,3,3,0.14321421570312962,3.0903806379419136,0.2982177142857136,0.03282939055793813,3.5646419584886946
none,14,18,16,0.0008413056345777667,0.019218807881773336,0.0007828174896901,0.016188479166666634,3,3,3,3,0.1497524029548425,3.1243764791666604,0.3075009261083734,0.0250501596700832,3.6066799678999595
none,14,18,32,0.0007895019594501666,0.019079874643874565,0.0009326013369111,0.016147860215053735,3,3,3,3,0.14053134878212967,3.116537021505371,0.30527799430199304,0.0298432427811552,3.5921896073706487
none,14,20,1,0.00028089775696326665,0.046064573232323165,0.0017280431665886668,0.043102194444444436,3,3,3,3,0.04999980073946146,8.318723527777776,0.7370331717171706,0.055297381330837336,9.161053881565245
none,14,20,2,0.0010049204239823333,0.0319585833333333,0.0024735962453278333,0.030181686274509734,3,3,3,3,0.17887583546885533,5.825065450980379,0.5113373333333328,0.07915507985049067,6.594433699633058
none,14,20,4,0.0008682646090899666,0.023696911255411197,0.0015166787270293,0.020111026666666632,3,3,3,3,0.15455110041801406,3.88142814666666,0.37915058008657915,0.0485337192649376,4.46366354643619
none,14,20,8,0.0008806950132321667,0.020146346153846098,0.0011944654602154333,0.016727940762463266,3,3,3,3,0.15676371235532566,3.2284925671554103,0.32234153846153757,0.038222894726893865,3.7458207126991674
none,14,20,16,0.0010135746682231,0.019307307692307665,0.0009643390391362666,0.01666696953405013,3,3,3,3,0.1804162909437118,3.216725120071675,0.30891692307692264,0.030858849252360532,3.7369171833446706
none,14,20,32,0.0008143997996122001,0.021592263888888834,0.0008090969164911999,0.018528970017636634,3,3,3,3,0.14496316433097162,3.5760912134038705,0.34547622222222135,0.025891101327718397,4.092421701284782
none,15,10,1,0.0003009628865403334,0.048387151515151466,0.0015296251683500999,0.0446207272727272,3,3,3,3,0.05357139380417934,8.61180036363635,0.7741944242424235,0.048948005387203196,9.488514187070157
none,15,10,2,0.0009461478593777,0.037692523809523766,0.0023555612472814336,0.033615844444444404,3,3,3,3,0.1684143189692306,6.48785797777777,0.6030803809523803,0.07537795991300587,7.334730637612386
none,15,10,4,0.0009386463169237,0.02694755,0.0016612633670585665,0.024244088548528702,3,3,3,3,0.16707904441241858,4.6791090898660395,0.4311608,0.05316042774587413,5.3305093620243325
none,15,10,8,0.0008809518991065333,0.024606348484848467,0.0013471843012658666,0.0214903661111111,3,3,3,3,0.15680943804096292,4.147640659444442,0.3937015757575755,0.04310989764050773,4.741261570883489
none,15,10,16,0.0008721778490027999,0.022933833333333264,0.0011475014161219665,0.019408260512820467,3,3,3,3,0.15524765712249838,3.74579427897435,0.36694133333333223,0.03672004531590293,4.304703314746083
none,15,10,32,0.0008918251803072333,0.0228167727272727,0.0010045660213458332,0.020623609743589733,3,3,3,3,0.1587448820946875,3.9803566805128185,0.3650683636363632,0.03214611268306666,4.536316038926935
none,15,12,1,0.00044029340278566666,0.061333888888888834,0.0017180083919535669,0.05806799999999993,3,3,3,3,0.07837222569584866,11.207123999999986,0.9813422222222213,0.05497626854251414,12.32181471646057
none,15,12,2,0.0011611235125847665,0.0467381944444444,0.0024411759467332,0.040352820512820464,3,3,3,3,0.20667998524008843,7.78809435897435,0.7478111111111104,0.0781176302954624,8.82070308562101
none,15,12,4,0.0009333444805257,0.032932354166666566,0.0018125923402720998,0.03033118627450977,3,3,3,3,0.1661353175335746,5.853918950980385,0.5269176666666651,0.058002954888707194,6.6049748900693315
none,15,12,8,0.0010481923972470667,0.028441388888888836,0.0014155002482895333,0.025962823809523767,3,3,3,3,0.18657824670997789,5.010824995238087,0.45506222222222137,0.04529600794526507,5.697761472115551
none,15,12,16,0.0009738222958429666,0.028903925925925864,0.0011749910926883334,0.024126746031746,3,3,3,3,0.17334036866004807,4.656461984126977,0.4624628148148138,0.03759971496602667,5.3298648825678665
none,15,12,32,0.0009712264708061667,0.027320537037036966,0.0009619196640731001,0.024708968253968167,3,3,3,3,0.17287831180349766,4.768830873015856,0.43712859259259146,0.030781429250339203,5.409619206662285
none,15,14,1,0.0005370651567826667,0.0649768333333333,0.002738915343915267,0.06896545833333323,3,3,3,3,0.09559759790731467,13.310333458333313,1.0396293333333329,0.08764529100528855,14.533205680579249
none,15,14,2,0.0012656296958562334,0.0518145848484848,0.0029176693388915337,0.04776157828282823,3,3,3,3,0.22528208586240955,9.217984608585848,0.8290333575757568,0.09336541884452908,10.365665470868542
none,15,14,4,0.0011777237519002334,0.0428406837606837,0.0022429407986865333,0.03203874999999997,3,3,3,3,0.20963482783824153,6.183478749999995,0.6854509401709392,0.07177410555796906,7.150338623567144
none,15,14,8,0.0011204815783736333,0.0322517647058823,0.0017038903740138334,0.025242089668615963,3,3,3,3,0.19944572095050672,4.871723306042881,0.5160282352941168,0.05452449196844267,5.641721754255948
none,15,14,16,0.0011688679711235666,0.031375963235294096,0.0014215713551164997,0.028075771929824533,3,3,3,3,0.20805849885999486,5.418623982456134,0.5020154117647055,0.04549028336372799,6.174188176444563
none,15,14,32,0.0012400356070172668,0.031658319852941166,0.0011876501671771666,0.025073323586744595,3,3,3,3,0.2207263380490735,4.8391514522417065,0.5065331176470587,0.03800480534966933,5.604415713287508
none,15,16,1,0.0006760482292995666,0.08237552380952377,0.002946201515151467,0.07676690476190473,3,3,3,3,0.12033658481532285,14.816012619047614,1.3180083809523804,0.09427844848484694,16.348636033300163
none,15,16,2,0.0017446231509047998,0.05328215185185176,0.0039601980676328,0.0526129333333333,3,3,3,3,0.31054292086105434,10.154296133333327,0.8525144296296282,0.1267263381642496,11.444079821988261
