Date and Time of Benchmark,CPU Vendor,CPU Model Name,CPU Architecture,CPU Cores,CPU Max MHz,CPU Min MHz,L1d Cache Size,L1i Cache Size,L2 Cache Size,L3 Cache Size,Total DRAM Size,security_standard_level,n,batch_size,depth,num_threads,power_latency_analysis,runtime_analysis,flamegraph_generation,build,compiler_optimizations,cold_caching,CKKS_Add Time,CKKS_Add Energy,CKKS_Add Power,CKKS_Add_Plaintext Time,CKKS_Add_Plaintext Energy,CKKS_Add_Plaintext Power,CKKS_Add_Many Time,CKKS_Add_Many Energy,CKKS_Add_Many Power,CKKS_Sub Time,CKKS_Sub Energy,CKKS_Sub Power,CKKS_Sub_Scalar Time,CKKS_Sub_Scalar Energy,CKKS_Sub_Scalar Power,CKKS_Mult Time,CKKS_Mult Energy,CKKS_Mult Power,CKKS_MultNoRelin Time,CKKS_MultNoRelin Energy,CKKS_MultNoRelin Power,CKKS_Mult_Plaintext Time,CKKS_Mult_Plaintext Energy,CKKS_Mult_Plaintext Power,CKKS_Mult_Scalar Time,CKKS_Mult_Scalar Energy,CKKS_Mult_Scalar Power,CKKS_Square Time,CKKS_Square Energy,CKKS_Square Power,CKKS_Rotate Time,CKKS_Rotate Energy,CKKS_Rotate Power,CKKS_Fast_Rotate_Precompute Time,CKKS_Fast_Rotate_Precompute Energy,CKKS_Fast_Rotate_Precompute Power,CKKS_Fast_Rotate Time,CKKS_Fast_Rotate Energy,CKKS_Fast_Rotate Power,CKKS_ModReduce Time,CKKS_ModReduce Energy,CKKS_ModReduce Power,CKKS_LevelReduce Time,CKKS_LevelReduce Energy,CKKS_LevelReduce Power,CKKS_Relin Time,CKKS_Relin Energy,CKKS_Relin Power,CKKS_Rescale Time,CKKS_Rescale Energy,CKKS_Rescale Power,CKKS_Chebyshev_Series Time,CKKS_Chebyshev_Series Energy,CKKS_Chebyshev_Series Power,CKKS_Chebyshev_Function Time,CKKS_Chebyshev_Function Energy,CKKS_Chebyshev_Function Power,CKKS_Logistic Time,CKKS_Logistic Energy,CKKS_Logistic Power
2025-06-08 12:57:00,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,1,True,False,False,True,True,True,6.97048939858648e-05,0.006438191758901186,92.36355427506659,8.167487684729064e-05,0.0066502463054187305,81.42340168878181,0.005692105263157896,0.3912280701754386,68.73169979966094,0.0004547911683532659,0.03294388224471022,72.4373834346769,5.1067000385059684e-05,0.004441663457835965,86.9771755604316,0.010912872340425529,0.72,65.9771302677884,0.0007159957567185289,0.05005657708628006,69.91183483501875,0.0003147190332326282,0.020755287009063428,65.94862343048034,0.00018745027726432533,0.012835489833641404,68.4741042849564,0.010503666666666668,0.663125,63.132715559645824,0.010257380000000002,0.6597999999999999,64.32441812626614,0.005030078431372549,0.31941176470588234,63.50035472880787,0.0051370800000000005,0.3418000000000002,66.53585305270703,0.00026689361702127504,0.03872340425531906,145.08928571428623,0.0001629361702127699,0.020638297872340505,126.66492556803085,6.52127659574453e-05,0.0029787234042553123,45.676998368679584,0.00020023404255319066,0.01744680851063829,87.13207948145819,0.2026,12.45,61.45113524185587,0.21537566666666663,13.833333333333332,64.22885903235742,0.21058,13.0,61.73425776427011
2025-06-08 12:57:30,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,1,True,False,False,False,True,True,6.65368142762723e-05,0.005849306014540648,87.91082167314657,9.568656716417911e-05,0.008507462686567172,88.9096864763688,0.005702929824561404,0.3963157894736843,69.49336598301274,0.00045841258094357076,0.03277520814061055,71.4971828939509,5.0686186770428003e-05,0.0043044747081712065,84.92401939146426,0.010529333333333335,0.6793750000000001,64.52212865645181,0.0007006741573033709,0.048132022471910105,68.69387427838355,0.0002933928571428571,0.017499999999999988,59.64698721850271,0.0001886060830860534,0.013557121661721069,71.88061720965541,0.010619729166666668,0.6783333333333332,63.87482417748411,0.010076040000000001,0.6448,63.993394230273,0.004989960784313726,0.3137254901960785,62.8713338153469,0.005143799999999999,0.3224,62.677398032582936,2.80425531914881e-05,0.010638297872340496,379.3626707132214,0.00018091489361702143,0.008297872340425672,45.86616488298321,0.0002653404255319146,0.011063829787234303,41.69673642851518,4.012765957446887e-05,0.004042553191489162,100.74231177093685,0.20524400000000004,12.893333333333334,62.8195383705898,0.21788133333333337,13.726666666666667,63.00065479068115,0.19914966666666667,12.319999999999997,61.863020944047086
2025-06-08 12:58:01,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,1,True,False,False,False,True,True,6.806981952311948e-05,0.006256092741404295,91.90699762733253,4.930221130221139e-05,0.0059213759213759265,120.10365792883474,0.005452912280701756,0.3949122807017543,72.42226912385459,0.00046595004625346896,0.03290471785383904,70.6185526075459,4.988527975966953e-05,0.004114720240330454,82.48365570272011,0.010810255319148936,0.6725531914893619,62.2143669722604,0.0007036957142857141,0.04802857142857142,68.25190270957212,0.00028326764705882343,0.00944117647058823,33.329526222342196,0.00018608503527664316,0.01338284441143706,71.9178970600267,0.010189979591836734,0.6520408163265308,63.98843201304204,0.010205679999999998,0.639,62.612192426178375,0.004894205882352941,0.3007843137254902,61.45722533047281,0.005011839999999998,0.32220000000000004,64.28776656876519,0.00011808510638297576,0.0002127659574469032,1.801801801802649,0.00014129787234042762,0.025106382978723252,177.68408372232727,9.925531914893593e-05,0.0014893617021276562,15.005359056806004,0.0002184042553191462,0.006170212765957528,28.25133950316682,0.19992100000000002,12.003333333333334,60.040382617800695,0.22092100000000003,13.966666666666665,63.22018579793982,0.20263400000000004,12.82,63.26677655279962
2025-06-08 12:58:29,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,2,True,False,False,False,True,True,0.00025640141200201715,0.01968734241048916,76.78328390147195,0.00012832421875000007,0.003886718750000004,30.288271285501214,0.009378827586206895,0.643793103448276,68.64323899024217,0.00034113924914675766,0.026122866894197953,76.57537782455495,6.026442363278993e-05,0.0050375765984506885,83.59121841347435,0.007937476190476191,0.5479365079365079,69.031578147466,0.0007976041666666665,0.055657051282051284,69.78029153816017,0.0005675083333333331,0.04005555555555555,70.58144031169392,0.0002291769547325103,0.016909007773205302,73.7814488936773,0.008070370967741936,0.5698387096774193,70.60873805617122,0.007348840579710146,0.5110144927536231,69.53675035005027,0.0032042088607594933,0.23670886075949366,73.87435434011832,0.004073899999999999,0.26385714285714285,64.76770241221996,0.00010960317460317545,0.01825396825396819,166.5459811730611,3.8968253968253014e-05,0.006507936507936463,167.00610997963634,0.00011953968253968113,0.004444444444444362,37.17965741601356,9.138095238095216e-05,0.023968253968253972,262.28938683342085,0.15014875,10.8675,72.37822492694744,0.160626,11.797500000000001,73.44701355944866,0.14724525,9.955,67.60829296700572
2025-06-08 12:58:57,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,2,True,False,False,False,True,True,0.00025121639180409797,0.017936031984007995,71.39674228740122,0.00016649212598425197,0.014822834645669303,89.03024427156005,0.00893,0.6503448275862069,72.82696837471522,0.0003422681912681913,0.026320166320166316,76.89924740783933,0.00010673301174496645,0.008091442953020134,75.81012491575015,0.007960841269841269,0.5607936507936508,70.4440186388533,0.0008180967741935484,0.05837096774193548,71.3497101849296,0.0005619060773480661,0.035828729281767946,63.762843518017796,0.00014135277700251186,0.010262349986045213,72.60097893841059,0.008097790322580645,0.5606451612903226,69.23433911680407,0.007221927536231884,0.5123188405797101,70.93934936475668,0.003186411392405063,0.23145569620253165,72.63835948936644,0.004096157142857142,0.2822857142857143,68.91476680233392,0.00026207575757575784,0.023333333333333317,89.0327802509104,4.993650793650925e-05,0.012222222222222245,244.75524475523878,1.896825396825383e-05,0.004920634920634881,259.4142259414224,2.3920634920635356e-05,0.005555555555555425,232.24950232248534,0.152487,10.805,70.8584994130647,0.1619165,11.48,70.90074204914262,0.1531295,10.8375,70.77343033184331
2025-06-08 12:59:26,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,2,True,False,False,False,True,True,0.0002467083541770886,0.018079039519759883,73.28101871565586,0.00015153057199211034,0.013826429980276125,91.24515138104289,0.00644541176470588,0.4864705882352942,75.47548643814117,0.00034667586206896554,0.027255172413793098,78.61860428105354,0.00010764598233066893,0.008024821203197308,74.54826487203687,0.007961296875,0.556875,69.94777468338035,0.000815646302250804,0.05718649517684888,70.11187940047148,0.00047672279792746104,0.031865284974093244,66.84237698013746,0.0002331107551487414,0.01726315789473684,74.05560452893607,0.008128403225806451,0.5638709677419355,69.3704473163598,0.007231478260869564,0.510144927536232,70.54504060348079,0.003201158227848102,0.2339240506329114,73.07481667039026,0.004260357142857141,0.30900000000000005,72.52913068991538,1.193650793650941e-05,0.0030158730158729163,252.65957446804558,0.00040455555555555557,0.024603174603174516,60.81531761290048,9.21746031746027e-05,0.017142857142857126,185.9824349922515,5.917460317460266e-05,0.017301587301587262,292.38197424892894,0.14947475,10.48,70.11217613677228,0.16009700000000002,11.322500000000002,70.72274933321674,0.15267175,10.68,69.9540026232751
2025-06-08 12:59:53,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,4,True,False,False,False,True,True,0.0002298945205479452,0.017753424657534246,77.22421837292862,0.00013795099540581915,0.011148545176110261,80.81525721009756,0.008416709677419355,0.6551612903225805,77.84054760499465,0.0002246376811594203,0.0168423364075538,74.97556207233627,0.00011264916885389328,0.008462379702537184,75.12154584569502,0.005691337078651685,0.47044943820224727,82.6606176546654,0.0007903135048231509,0.0552572347266881,69.91812032751871,0.00039243117408906884,0.031578947368421054,80.47002749392605,0.00019553112840466928,0.014879377431906614,76.09723092842998,0.005345526881720429,0.4508602150537634,84.34345669376869,0.005032782178217822,0.4268316831683168,84.81028346819171,0.0016979149659863946,0.15877551020408165,93.51205059426628,0.0030303500000000002,0.23540000000000005,77.68079594766283,0.00015764367816091876,0.017471264367815986,110.82756106452777,6.779775280898841e-05,0.0015730337078651013,23.20185614849101,7.595505617977519e-05,0.002808988764044895,36.98224852070946,7.651685393258653e-06,0.0003370786516854185,44.05286343612534,0.11118600000000001,8.942,80.42379436259961,0.11598259999999999,9.434,81.3397871749728,0.11152719999999998,9.129999999999999,81.86343779813356
2025-06-08 13:00:20,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,4,True,False,False,False,True,True,0.0002559984810126582,0.01871898734177215,73.12147817332777,9.469208633093519e-05,0.008647482014388475,91.3221194025314,0.008835580645161292,0.6583870967741936,74.51543064515539,0.0002258843956043956,0.019578021978021977,86.67275101335507,9.978323471400395e-05,0.007739644970414201,77.56458279386678,0.005574211111111111,0.4482222222222222,80.40998327615866,0.0008366262135922331,0.06611650485436894,79.02753198526212,0.0003754674796747966,0.03258130081300813,86.77529367184542,0.0002024982510687913,0.015584920326467157,76.96323422157732,0.005333118279569893,0.4389247311827957,82.30170571394007,0.005000594059405941,0.4078217821782178,81.55466677226467,0.002082093220338983,0.17949152542372881,86.20724743270911,0.003068411764705882,0.2614705882352941,85.21365718996225,6.50777777777764e-05,0.007888888888888945,121.22246884070687,0.00010788764044943923,0.006067415730337089,56.23828369089729,0.0008556516853932584,0.06415730337078651,74.98063109792128,0.00010913333333333226,0.009111111111111181,83.48605172062862,0.11113720000000002,8.866,79.77526876689352,0.1162752,9.224,79.32904007045354,0.10795600000000001,9.004000000000001,83.40434992033792
2025-06-08 13:00:48,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,4,True,False,False,False,True,True,0.00021377144064216308,0.01711871567384875,80.07952616319858,0.00014209035222052064,0.013338437978560491,93.87293204720594,0.008664677419354842,0.6312903225806452,72.85791403734106,0.0002171134380453752,0.018071553228621293,83.2355352635725,0.00010484499205087438,0.008084260731319555,77.1067894916411,0.005657775280898876,0.46842696629213487,82.79349091039082,0.0008184903536977492,0.06117363344051446,74.73958998312712,0.0004248432989690722,0.035154639175257726,82.74730767924133,0.0002037500976181179,0.01702069504099961,83.53711355221502,0.0056271612903225805,0.46451612903225803,82.54892743719975,0.00502285436893204,0.45252427184466026,90.09305040649149,0.0018148339222614838,0.1654416961130742,91.16079112457604,0.003181186274509803,0.2648039215686274,83.24062117658663,9.711111111110685e-06,0.022777777777777786,2345.5377574371746,0.0006045113636363644,0.05522727272727257,91.35853525574713,0.0008604545454545462,0.08337662337662333,96.89834729454367,0.00011178651685393379,0.05325842696629213,476.4297919388831,0.11184440000000001,9.373999999999999,83.81286859243733,0.1165068,9.478,81.35147476370479,0.1114504,9.262,83.10423291437267
2025-06-08 13:01:14,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,8,True,False,False,False,True,True,0.00022522115384615387,0.018713369963369964,83.08886462837707,0.00014097884344146678,0.0119605077574048,84.83902595193797,0.008653290322580644,0.7087096774193549,81.90060092748611,0.00022257283729269387,0.021030927835051547,94.4900918318028,0.00010857778710896496,0.009918118832668485,91.34574480427565,0.0055256590909090915,0.5820454545454545,105.33502790699586,0.0008282058346839546,0.07489465153970828,90.42999747555301,0.00032093587521663794,0.030415944540727907,94.77265363430173,0.00018430278592375366,0.017771260997067446,96.42426677380473,0.00531158947368421,0.5463157894736842,102.85354170919202,0.005036254901960784,0.5411764705882353,107.45613181285502,0.0017360620689655171,0.19813793103448274,114.13067227057668,0.0032061153846153854,0.33980769230769226,105.98735589438449,9.91443298969056e-05,0.008659793814433048,87.3453259852365,0.0002778791208791209,0.016153846153846074,58.13263732352563,8.376842105263169e-05,0.011052631578947425,131.9426991706464,0.00038376923076923093,0.036263736263736246,94.49360020616777,0.09672433333333333,10.156666666666666,105.00632381372492,0.10179,10.991999999999999,107.98703212496315,0.09639983333333332,10.078333333333335,104.54720703182407
