Date and Time of Benchmark,CPU Vendor,CPU Model Name,CPU Architecture,CPU Cores,CPU Max MHz,CPU Min MHz,L1d Cache Size,L1i Cache Size,L2 Cache Size,L3 Cache Size,Total DRAM Size,security_standard_level,n,batch_size,depth,num_threads,power_latency_analysis,runtime_analysis,flamegraph_generation,build,compiler_optimizations,cold_caching,chi_square_test Time,chi_square_test Energy,chi_square_test Power
2025-06-25 21:33:07.207,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,8,True,False,False,False,True,True,1.9891309999999995,169.61999999999995,85.2734183922527
2025-06-25 21:33:17.600,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,8,True,False,False,False,True,True,1.9768399999999993,171.27999999999997,86.64332975860466
2025-06-25 21:33:27.989,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,8,True,False,False,False,True,True,2.01935,169.40000000000003,83.88837992423305
2025-06-25 21:33:38.383,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,8,True,False,False,False,True,True,1.8891239999999998,163.33000000000004,86.45806204357154
2025-06-25 21:33:48.657,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,8,True,False,False,False,True,True,2.0671350000000004,186.45999999999998,90.20213967641202
2025-06-25 21:33:59.062,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,8,True,False,False,False,True,True,1.9837869999999995,158.88,80.08924345204402
2025-06-25 21:34:06.688,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,16,True,False,False,False,True,True,2.0075380000000003,173.90000000000003,86.62351596831543
2025-06-25 21:34:14.258,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,16,True,False,False,False,True,True,1.8515329999999999,166.56999999999994,89.96328987925138
2025-06-25 21:34:21.893,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,16,True,False,False,False,True,True,2.1020709999999996,188.54000000000002,89.69249849315273
2025-06-25 21:34:29.458,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,16,True,False,False,False,True,True,1.9718980000000004,173.21999999999997,87.84430026299532
2025-06-25 21:34:37.223,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,16,True,False,False,False,True,True,1.8292980000000005,161.98000000000002,88.54762865317733
2025-06-25 21:34:44.933,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,16,True,False,False,False,True,True,1.8193709999999998,159.83999999999997,87.85453873893779
2025-06-25 21:34:52.383,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,32,True,False,False,False,True,True,1.9934500000000002,182.8,91.70031854322907
2025-06-25 21:34:59.818,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,32,True,False,False,False,True,True,1.9567860000000006,181.09000000000003,92.54461141892878
2025-06-25 21:35:07.228,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,32,True,False,False,False,True,True,1.9085820000000004,175.18000000000006,91.78541975141755
2025-06-25 21:35:14.733,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,32,True,False,False,False,True,True,1.989154,183.27999999999997,92.13967344911453
2025-06-25 21:35:22.046,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,32,True,False,False,False,True,True,1.8307410000000002,174.42000000000002,95.27289769552328
2025-06-25 21:35:29.431,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,1,1,1,32,True,False,False,False,True,True,2.067938,191.89999999999998,92.79775312412654
