security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Add_Plaintext,CKKS_Bootstrap,CKKS_Chebyshev_Function,CKKS_Fast_Rotate,CKKS_Fast_Rotate_Precompute,CKKS_Mult_Plaintext,CKKS_Rotate,CKKS_Add_count,CKKS_Add_Plaintext_count,CKKS_Bootstrap_count,CKKS_Chebyshev_Function_count,CKKS_Fast_Rotate_count,CKKS_Fast_Rotate_Precompute_count,CKKS_Mult_Plaintext_count,CKKS_Rotate_count,CKKS_Add_contribution,CKKS_Add_Plaintext_contribution,CKKS_Mult_Plaintext_contribution,CKKS_Bootstrap_contribution,CKKS_Chebyshev_Function_contribution,CKKS_Fast_Rotate_Precompute_contribution,CKKS_Rotate_contribution,CKKS_Fast_Rotate_contribution,estimated_Time
none,16,10,1,0.0037043627499260996,0.0032035227272727,12.967633,6.093692,0.1143163333333333,0.08881008333333346,0.010778222222222151,0.21733416666666655,4,4,4,4,4,4,4,4,25.356363023244153,0.07688454545454479,69.78898888888843,272.320293,73.124304,1.6873915833333357,264.71301499999987,17.37608266666666,724.443322707587
none,16,10,2,0.0042820387056956,0.00530240998217465,8.5222935,3.9011220000000004,0.081635875,0.05747224999999995,0.006936948275862,0.1475021249999999,4,4,4,4,4,4,4,4,29.310554940486384,0.1272578395721916,44.91674008620645,178.9681635,46.813464,1.091972749999999,179.6575882499999,12.408653,493.29439436626495
none,16,10,4,0.0047783876146787994,0.004826244680851,6.182133,2.6661455000000003,0.06815479999999996,0.031361504901960754,0.005322869047619,0.1061386,4,4,4,4,4,4,4,4,32.70806322247638,0.115829872340424,34.465577083333024,129.824793,31.993746,0.5958685931372544,129.2768148,10.359529599999995,369.34022217128705
none,16,10,8,0.00469792660550455,0.0041550416666666,4.9411955,2.1060905,0.06026285714285701,0.0192264629629629,0.00552240909090905,0.08060135714285704,4,4,4,4,4,4,4,4,32.15730761467864,0.09972099999999841,35.7575988636361,103.7651055,25.273086,0.3653027962962951,98.17245299999988,9.159954285714266,304.75052906032516
none,16,10,16,0.00444893636363635,0.00383383802816895,4.626028499999999,1.9757645,0.052164357142857096,0.016564580645161253,0.00506608064903845,0.07344085714285714,4,4,4,4,4,4,4,4,30.452969409090816,0.0920121126760548,32.802872202523965,97.14659849999998,23.709173999999997,0.3147270322580638,89.450964,7.928982285714278,281.89829954226315
none,16,10,32,0.00413299394673115,0.0046504280868385,4.6164335,1.972492,0.062237642857142804,0.0166947333333333,0.00554885419866865,0.0738767142857142,4,4,4,4,4,4,4,4,28.29034356537472,0.111610274084124,35.928830936379505,96.9451035,23.669904,0.31719993333333274,89.9818379999999,9.460121714285707,284.7049519234573
