Date and Time of Benchmark,CPU Vendor,CPU Model Name,CPU Architecture,CPU Cores,CPU Max MHz,CPU Min MHz,L1d Cache Size,L1i Cache Size,L2 Cache Size,L3 Cache Size,Total DRAM Size,security_standard_level,n,batch_size,depth,num_threads,power_latency_analysis,runtime_analysis,flamegraph_generation,build,compiler_optimizations,cold_caching,CKKS_Add Time,CKKS_Add Energy,CKKS_Add Power,CKKS_Add_Plaintext Time,CKKS_Add_Plaintext Energy,CKKS_Add_Plaintext Power,CKKS_Add_Many Time,CKKS_Add_Many Energy,CKKS_Add_Many Power,CKKS_Sub Time,CKKS_Sub Energy,CKKS_Sub Power,CKKS_Mult Time,CKKS_Mult Energy,CKKS_Mult Power,CKKS_Mult_Plaintext Time,CKKS_Mult_Plaintext Energy,CKKS_Mult_Plaintext Power,CKKS_Rotate Time,CKKS_Rotate Energy,CKKS_Rotate Power,CKKS_Fast_Rotate_Precompute Time,CKKS_Fast_Rotate_Precompute Energy,CKKS_Fast_Rotate_Precompute Power,CKKS_Fast_Rotate Time,CKKS_Fast_Rotate Energy,CKKS_Fast_Rotate Power,CKKS_Bootstrap Time,CKKS_Bootstrap Energy,CKKS_Bootstrap Power,CKKS_Chebyshev_Function Time,CKKS_Chebyshev_Function Energy,CKKS_Chebyshev_Function Power
2025-06-25 19:11:48.739,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,8,True,False,False,False,True,True,0.0044557064220183545,0.4219266055045874,94.69353802566333,0.006537450000000014,0.4826666666666668,73.83102993776866,0.31712899999999955,22.840000000000032,72.02116488873634,0.005268536842105272,0.46926315789473616,89.06897151111536,0.1026393333333333,8.375,81.59639904130323,0.0054741296296296205,0.5127777777777771,93.67293295399577,0.07846614285714282,6.877142857142857,87.64471664758052,0.019059592592592572,2.261111111111111,118.63375883437729,0.055532571428571376,4.71142857142857,84.84081414253674,4.7496860000000005,464.9699999999999,97.89489242025681,2.095504,193.08000000000004,92.14012476234836
2025-06-25 19:14:46.048,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,8,True,False,False,False,True,True,0.0049401467889908235,0.46412844036697276,93.95033390531808,0.004039649999999992,0.4163333333333341,103.06173389608875,0.29373699999999925,16.629999999999995,56.61527148435518,0.005475389473684207,0.5001052631578946,91.3369296488402,0.09812766666666672,9.151666666666657,93.26285824928733,0.005525054545454544,0.569454545454545,103.06767847623054,0.08631699999999987,7.36571428571429,85.33329802604703,0.019393333333333318,2.145555555555557,110.6336656353846,0.06368757142857129,4.965714285714284,77.96991115108817,4.909604,474.83000000000004,96.7145211711576,2.120894,196.44,92.62131912297362
2025-06-25 19:17:49.217,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,8,True,False,False,False,True,True,0.0029278532110091765,0.2954128440366972,100.89742304221389,0.004270433333333337,0.3426666666666671,80.24166165806751,0.48585600000000007,43.0,88.50358954093393,0.005217315789473681,0.5267368421052634,100.95935599067892,0.08809633333333344,7.261666666666663,82.42870494042492,0.005519763636363639,0.4925454545454544,89.2330699272366,0.08273657142857138,7.198571428571427,87.00591895793191,0.020118185185185156,2.2233333333333327,110.51361307532723,0.05683814285714284,5.182857142857138,91.18625068176043,4.972787,485.40999999999997,97.61326998321061,2.082123,197.37999999999994,94.7974735402279
2025-06-25 19:20:40.928,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,16,True,False,False,False,True,True,0.003302172727272727,0.2968181818181814,89.8857226233966,0.004299130434782611,0.5165217391304351,120.14563106796118,0.34590300000000074,31.909999999999968,92.25129588352775,0.004816095238095237,0.5374285714285714,111.5901046095434,0.09068100000000001,9.108333333333341,100.44367985943406,0.004150772727272711,0.4962121212121211,119.54692627513722,0.07385814285714287,8.361428571428576,113.20929890697808,0.01584151612903223,2.2364516129032275,141.17661432699333,0.049945428571428474,5.285714285714285,105.82979137229795,4.645759999999999,539.65,116.15968108554898,1.9120310000000007,220.01,115.06612601992327
2025-06-25 19:23:39.146,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,16,True,False,False,False,True,True,0.004669100000000002,0.4824545454545457,103.32923806612526,0.0016420140845070375,0.17619718309859067,107.30552481922729,0.343534,30.04000000000002,87.44403756251207,0.004519700934579436,0.5438317757009345,120.32472581098749,0.08635416666666662,8.97666666666666,103.95174909529551,0.0048694843750000105,0.55953125,114.90564645255665,0.07854000000000005,8.634285714285717,109.9348830441267,0.017287645161290305,2.273548387096776,131.51290218448028,0.06165900000000013,6.41142857142858,103.98203946591035,4.564917999999999,529.1100000000001,115.90788706390789,2.0113000000000003,225.5,112.1165415402973
2025-06-25 19:26:36.190,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,16,True,False,False,False,True,True,0.004228772727272734,0.40681818181818175,96.20242279621193,0.0037200563380281743,0.4380281690140846,117.74772455361861,0.35183300000000006,34.129999999999995,97.00625012434874,0.004955906542056077,0.5493457943925231,110.84668157697214,0.09165966666666658,9.643333333333324,105.2080340680561,0.005262676923076928,0.5770769230769233,109.65463613136332,0.068879625,7.532499999999999,109.35744786647719,0.017859064516129036,2.4719354838709666,138.4134920190523,0.05285014285714296,5.4085714285714275,102.33787717832881,4.606297,528.6700000000001,114.77114914648364,1.9402289999999995,226.82000000000005,116.90372631271882
2025-06-25 19:29:36.879,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,16,True,False,False,False,True,True,0.004725072727272725,0.45500000000000007,96.29481412503517,0.003947619718309842,0.45338028169014155,114.84902651267903,0.3216549999999998,26.329999999999984,81.8578912188525,0.004720009345794397,0.5500000000000003,116.52519300413228,0.11829200000000006,11.101666666666667,93.84968270607193,0.00572700000000001,0.48864406779660996,85.32286848203407,0.07302357142857152,7.520000000000003,102.98044662682295,0.015792516129032264,2.250967741935483,142.53382574024437,0.051478571428571374,5.342857142857142,103.78798390453734,4.934157000000001,571.53,115.83133653833875,2.0938589999999992,233.11,111.33032357957251
2025-06-25 19:32:37.178,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,32,True,False,False,False,True,True,0.004342432203389826,0.49245762711864405,113.40594488365704,0.004450492537313444,0.4655223880597017,104.60019518215303,0.3853800000000005,30.620000000000005,79.45404535782855,0.00405414285714286,0.5169747899159662,127.51765493540155,0.0941831666666667,9.876666666666665,104.86658089998383,0.0054980793650793724,0.6696825396825403,121.80299614006618,0.07333800000000001,8.628571428571433,117.65485053548545,0.016486633333333334,2.3323333333333345,141.46813883570334,0.06275299999999995,7.049999999999997,112.34522652303481,4.5460280000000015,529.86,116.5544954848496,1.93358,223.09999999999997,115.38183059402763
2025-06-25 19:35:36.998,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,32,True,False,False,False,True,True,0.002890268907563026,0.3187394957983196,110.28022166528083,0.004850363636363625,0.5260606060606055,108.45797253564257,0.33339299999999916,30.21999999999997,90.64377476431733,0.004620765306122453,0.5300000000000002,114.69961464992764,0.10295866666666653,11.571666666666665,112.39138035975616,0.005599629032258052,0.6143548387096773,109.71348908481863,0.08094200000000007,8.465714285714284,104.5898827026053,0.019374461538461535,2.656153846153847,137.09562151603228,0.05883671428571424,6.294285714285714,106.97887859135581,4.534749,541.61,119.43549687094038,1.9505569999999999,223.17999999999995,114.41859940519552
2025-06-25 19:38:41.011,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,32,True,False,False,False,True,True,0.00425405932203389,0.4470338983050848,105.08407722235413,0.005953820895522391,0.5414925373134327,90.94874481707464,0.2030289999999999,13.100000000000023,64.52280216126775,0.0037602100840336133,0.485378151260504,129.08272155364102,0.1152835000000001,11.848333333333322,102.77562125831808,0.0061853114754098215,0.7175409836065576,116.00725144710927,0.07441542857142847,8.438571428571429,113.39814324218496,0.016851366666666673,2.3326666666666664,138.42596347279442,0.06172228571428573,6.238571428571419,101.07486066620974,4.729318000000001,543.4399999999999,114.90874582762247,1.994427,231.10999999999996,115.87789375093696
2025-06-25 19:41:49.406,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,32,True,False,False,False,True,True,0.004011928571428576,0.45095238095238077,112.40289375137222,0.003469910447761182,0.40149253731343393,115.70688735568972,0.2042919999999997,21.189999999999998,103.72408121708158,0.004254512820512812,0.503589743589743,118.36601858659893,0.09686183333333342,9.32500000000001,96.27114911101897,0.004138645161290325,0.5108064516129041,123.42359194999156,0.06671642857142868,8.195714285714288,122.84401999935747,0.0165381,2.3149999999999995,139.9798042096734,0.06396600000000008,5.36571428571429,83.88384900907175,4.686838999999999,517.6100000000001,110.43904004383343,2.16402,249.11,115.11446289775512
