Date and Time of Benchmark,CPU Vendor,CPU Model Name,CPU Architecture,CPU Cores,CPU Max MHz,CPU Min MHz,L1d Cache Size,L1i Cache Size,L2 Cache Size,L3 Cache Size,Total DRAM Size,security_standard_level,n,batch_size,depth,num_threads,runtime_analysis,runtime_analysis,flamegraph_generation,build,compiler_optimizations,cold_caching,hexl,CKKS_Add Time,CKKS_Add Energy,CKKS_Add Power,CKKS_Add_Plaintext Time,CKKS_Add_Plaintext Energy,CKKS_Add_Plaintext Power,CKKS_Mult Time,CKKS_Mult Energy,CKKS_Mult Power,CKKS_Mult_Plaintext Time,CKKS_Mult_Plaintext Energy,CKKS_Mult_Plaintext Power
2025-12-01 09:42:04.861,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,15,12,10,1,True,False,False,False,True,True,True,0.003685695652173913,0.425144927536232,115.34998210866141,0.0030847249999999982,0.33950000000000014,110.05843308560742,0.03056276470588236,3.002352941176471,98.23564622079539,0.0029763644067796607,0.34745762711864403,116.73894040904186
2025-12-01 09:42:23.395,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,15,12,10,1,True,False,False,False,True,True,True,0.0037384888888888895,0.4177777777777779,111.7504398687527,0.0029466428571428577,0.3362698412698413,114.1196465172903,0.03010817647058825,2.9805882352941175,98.99597334318013,0.00298889256198347,0.35074380165289254,117.34908310659857
2025-12-01 09:42:41.939,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,15,12,10,1,True,False,False,False,True,True,True,0.0037750222222222227,0.4197777777777777,111.19875674021047,0.0027871935483870965,0.32201612903225807,115.5341828408736,0.030857058823529404,2.958823529411765,95.88806069733309,0.0029226923076923067,0.33427350427350455,114.37177406383894
2025-12-01 09:43:00.348,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,15,12,10,1,True,False,False,False,True,True,True,0.0038287352941176467,0.4253676470588236,111.09873479954219,0.002805696,0.3096000000000001,110.34695134469312,0.029961470588235298,2.801176470588236,93.49262287840266,0.002848375,0.3215833333333331,112.90063047644117
2025-12-01 09:43:33.727,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,1,True,False,False,False,True,True,True,0.008003749999999997,0.8891666666666671,111.09375813420802,0.006306560000000003,0.7101999999999995,112.61289831540478,0.07720271428571429,7.4957142857142856,97.09133098577215,0.006601500000000003,0.7854166666666664,118.97548536948663
2025-12-01 09:44:07.439,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,1,True,False,False,False,True,True,True,0.008434033333333334,0.9871666666666665,117.04562071922882,0.006724920000000002,0.7626,113.39911850252489,0.07847557142857142,7.674285714285713,97.79203355366273,0.006815020408163265,0.774897959183674,113.70442240429311
2025-12-01 09:44:40.448,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,1,True,False,False,False,True,True,True,0.008877999999999997,0.9874576271186442,111.22523396245151,0.006503539999999995,0.7216000000000005,110.95495683889098,0.07480628571428566,7.875714285714288,105.28145075662103,0.006566000000000009,0.7627083333333333,116.16027007818036
2025-12-01 09:45:13.634,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,1,True,False,False,False,True,True,True,0.008495833333333327,0.9354999999999993,110.11280039234919,0.006288100000000005,0.7157999999999998,113.8340675243713,0.07789457142857142,7.532857142857143,96.70580381541352,0.006524000000000002,0.7875000000000005,120.70815450643781
2025-12-01 09:45:46.926,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,10,1,True,False,False,False,True,True,True,0.008280152542372889,0.9220338983050849,111.35469951630294,0.006321520000000004,0.7175999999999991,113.5170022399674,0.07654657142857141,7.207142857142863,94.1536991486043,0.0066969166666666635,0.7752083333333326,115.75600711770336
2025-12-01 09:46:49.133,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,17,12,10,1,True,False,False,False,True,True,True,0.017910214285714293,2.045357142857142,114.20059582919555,0.01229355555555553,1.4827777777777769,120.61423329296306,0.2797244999999997,28.575000000000017,102.15408375026159,0.014551222222222215,1.714444444444446,117.82133612296806
2025-12-01 09:47:52.050,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,17,12,10,1,True,False,False,False,True,True,True,0.01822167857142859,2.01392857142857,110.52376780404798,0.011915526315789488,1.2636842105263142,106.05357892179572,0.28167699999999996,28.92500000000001,102.68854042041067,0.013767294117647072,1.5070588235294125,109.46659602467906
2025-12-01 09:48:54.715,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,17,12,10,1,True,False,False,False,True,True,True,0.01846375000000003,2.1278571428571436,115.24512316604917,0.01197338888888888,1.2816666666666663,107.04293317124554,0.2763644999999997,27.155,98.25791662822118,0.014177235294117685,1.6458823529411752,116.09332276682132
2025-12-01 09:49:57.431,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,17,12,10,1,True,False,False,False,True,True,True,0.01728217857142858,1.855357142857141,107.35667006267795,0.013377777777777794,1.4344444444444449,107.22591362126236,0.26905950000000023,28.310000000000002,105.21836248116115,0.013627277777777752,1.533333333333335,112.5194157143967
2025-12-01 09:50:59.898,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,17,12,10,1,True,False,False,False,True,True,True,0.019298571428571443,2.1721428571428554,112.55459323414003,0.012874947368421069,1.3652631578947378,106.04029040486618,0.2833565,28.73999999999998,101.42700096874425,0.013004166666666678,1.3900000000000006,106.88881768663884
2025-12-01 09:54:20.877,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,1,True,False,False,False,True,True,False,0.0008628814432989691,0.09214776632302404,106.79076139443285,0.001187195121951219,0.13224390243902445,111.39188495120709,0.013254315789473683,1.3155263157894737,99.2526763874329,0.0014327900552486184,0.1519889502762431,106.07900977500148
2025-12-01 09:54:28.553,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,1,True,False,False,False,True,True,False,0.0008506609880749575,0.09374787052810904,110.2059126283199,0.0012075922330097087,0.12378640776699035,102.50679358749663,0.013376184210526314,1.3607894736842105,101.73226177711763,0.0013929234972677603,0.1422404371584699,102.11647476510848
2025-12-01 09:54:36.224,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,1,True,False,False,False,True,True,False,0.0008546054421768708,0.09420068027210884,110.22710086207583,0.0010124106280193237,0.10782608695652168,106.50430168584089,0.01344105128205128,1.338974358974359,99.61827619558147,0.0013441092896174863,0.13612021857923495,101.271689460589
2025-12-01 09:54:44.018,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,1,True,False,False,False,True,True,False,0.0008771433506044905,0.09592400690846287,109.35955547329414,0.0010412190476190475,0.1071428571428571,102.90136104200201,0.013240473684210526,1.3181578947368422,99.55519161740915,0.0013754143646408845,0.14281767955801106,103.83611166900981
2025-12-01 09:54:51.830,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,1,True,False,False,False,True,True,False,0.0008439982876712327,0.09335616438356165,110.61179358686944,0.0010692809523809525,0.1165714285714286,109.01852156990236,0.013355842105263156,1.32,98.83315403076125,0.0013890218579234973,0.1453005464480875,104.60637866800953
2025-12-01 09:55:03.748,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,14,12,10,1,True,False,False,False,True,True,False,0.0017707253521126764,0.19161971830985913,108.21538082189599,0.0021966261682242983,0.23887850467289728,108.74790992133228,0.028022611111111106,2.778888888888888,99.16595130519599,0.002843763440860214,0.3036559139784948,106.77959692970857
2025-12-01 09:55:15.717,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,14,12,10,1,True,False,False,False,True,True,False,0.001782486013986014,0.19094405594405592,107.12233052368518,0.002378084112149531,0.2442990654205608,102.72936275569364,0.028826111111111115,2.931666666666667,101.70177501108178,0.002899225806451612,0.29817204301075273,102.84540181286815
2025-12-01 09:55:27.690,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,14,12,10,1,True,False,False,False,True,True,False,0.001783978947368421,0.19294736842105265,108.1556308193394,0.00220775229357798,0.22715596330275234,102.89014939018065,0.027675166666666667,2.764444444444444,99.88898992879696,0.0033143478260869563,0.35108695652173916,105.92942411124231
2025-12-01 09:55:39.871,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5883.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,14,12,10,1,True,False,False,False,True,True,False,0.0018187482269503548,0.2050354609929078,112.73438398711605,0.0022139259259259256,0.2224074074074074,100.45837794432549,0.029049444444444447,2.9605555555555565,101.91436057296949,0.0031188279569892476,0.32462365591397846,104.08514364715168
