Date and Time of Benchmark,CPU Vendor,CPU Model Name,CPU Architecture,CPU Cores,CPU Max MHz,CPU Min MHz,L1d Cache Size,L1i Cache Size,L2 Cache Size,L3 Cache Size,Total DRAM Size,security_standard_level,n,batch_size,depth,num_threads,power_latency_analysis,runtime_analysis,flamegraph_generation,build,compiler_optimizations,cold_caching,CKKS_Add Time,CKKS_Add Energy,CKKS_Add Power,CKKS_Add_Plaintext Time,CKKS_Add_Plaintext Energy,CKKS_Add_Plaintext Power,CKKS_Add_Many Time,CKKS_Add_Many Energy,CKKS_Add_Many Power,CKKS_Sub Time,CKKS_Sub Energy,CKKS_Sub Power,CKKS_Mult Time,CKKS_Mult Energy,CKKS_Mult Power,CKKS_Mult_Plaintext Time,CKKS_Mult_Plaintext Energy,CKKS_Mult_Plaintext Power,CKKS_Rotate Time,CKKS_Rotate Energy,CKKS_Rotate Power,CKKS_Fast_Rotate_Precompute Time,CKKS_Fast_Rotate_Precompute Energy,CKKS_Fast_Rotate_Precompute Power,CKKS_Fast_Rotate Time,CKKS_Fast_Rotate Energy,CKKS_Fast_Rotate Power,CKKS_Bootstrap Time,CKKS_Bootstrap Energy,CKKS_Bootstrap Power,CKKS_Chebyshev_Function Time,CKKS_Chebyshev_Function Energy,CKKS_Chebyshev_Function Power,CKKS_Logistic Time,CKKS_Logistic Energy,CKKS_Logistic Power
2025-06-18 02:54:55,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,4,True,False,False,False,True,True,0.04909121568627453,3.1009803921568633,63.167724587921946,0.004993380952380888,0.2633333333333425,52.73647972077573,0.37898099999999957,18.430000000000064,48.630406273665656,0.008786000000000016,0.696749999999998,79.30229911222362,0.3096224999999997,24.279999999999973,78.41807362191054,0.0033702631578946818,0.5742105263157882,170.37557585695563,0.26863299999999946,22.089999999999975,82.23114807190487,0.031180333333333365,5.431666666666672,174.20168696079793,0.03007149999999914,4.560000000000002,151.63859468267736,3.9157790000000006,479.5999999999999,122.4788222215809,4.83207,421.28999999999985,87.18623695434873,5.847793000000001,467.4200000000001,79.9310098698774
2025-06-18 03:04:16,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,4,True,False,False,False,True,True,0.028429037037037058,2.049444444444447,72.08982990786679,0.0024438571428571088,0.44476190476190425,181.9917772451846,0.5104919999999993,48.14999999999998,94.32077290143636,0.004269875000000034,0.5167500000000018,121.0222781697351,0.2272324999999995,18.529999999999973,81.54643371876828,0.005304263157894784,0.49736842105262724,93.76767446244662,0.16971950000000025,13.399999999999977,78.95380318702304,0.11611166666666684,8.22333333333333,70.8226276429298,0.06672400000000067,1.0399999999999636,15.58659552784535,3.1805519999999987,442.8399999999997,139.23369276779624,5.160413999999999,418.42999999999995,81.08457964806699,5.970210999999999,484.67999999999995,81.18306036419818
2025-06-18 03:13:43,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,4,True,False,False,False,True,True,0.04693939215686274,3.0513725490196055,65.00664812238055,0.011183809523809596,0.43619047619047535,39.00195861364185,0.45498000000000083,33.940000000000055,74.5966855685964,0.010797125000000019,0.6227499999999999,57.67739097213368,0.25479950000000073,19.935000000000002,78.23798712320843,0.002411947368421097,1.0715789473684225,444.27957317737696,0.14600499999999972,11.254999999999995,77.08640115064564,0.03374766666666629,4.876666666666665,144.50381754788143,0.10847699999999971,3.194999999999993,29.453248153986575,3.9071720000000028,462.6100000000001,118.40021376074557,5.424932,469.15999999999997,86.48219000717428,6.039829000000001,494.1100000000001,81.80860749534466
2025-06-18 03:23:10,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,4,True,False,False,False,True,True,0.03177894230769229,2.4107692307692314,75.86058741123331,0.009745571428571465,1.0928571428571345,112.13884694879599,0.7145109999999999,66.55999999999995,93.15461903315688,0.005077524999999972,0.5169999999999995,101.82126134287913,0.12961650000000002,17.16500000000002,132.4291274644819,0.011253199999999963,1.061,94.28429246792054,0.2078055000000001,21.92500000000001,105.50731332905049,0.0708643333333332,8.75,123.47537313081828,0.09013300000000068,8.475000000000023,94.02771459953578,4.441212,491.75999999999976,110.72653140629174,5.022589,446.37,88.87249185629165,6.496728000000001,546.14,84.06385491281148
2025-06-18 03:32:34,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,4,True,False,False,False,True,True,0.02522457692307692,1.955384615384613,77.51902524857465,0.02091776190476191,1.258571428571429,60.16759509462225,0.4651809999999994,35.57999999999993,76.48635692343404,0.0150717142857143,1.2019047619047605,79.74572361977323,0.20022550000000017,16.605000000000018,82.93149473968103,0.01713600000000004,2.6709999999999994,155.87068160597534,0.34186549999999993,41.42500000000001,121.17338543959545,0.03348433333333345,4.4766666666666595,133.6943645286844,0.04575150000000061,2.4399999999999977,53.331584756783165,4.1711659999999995,471.4200000000001,113.01875782455078,5.245064000000001,468.9200000000001,89.40215028834729,5.959498999999999,516.8299999999999,86.72373298493716
2025-06-18 03:41:31,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,8,True,False,False,False,True,True,0.02984803921568624,2.5025490196078444,83.84299556577449,0.00848896296296292,0.63851851851852,75.21749373914768,0.46456500000000034,39.47000000000003,84.96120026261126,0.0059967173913043625,0.6265217391304354,104.47744961917556,0.20804699999999965,20.833333333333314,100.13762915751417,0.006695319999999949,0.8792000000000044,131.31560552744472,0.15395499999999984,18.376666666666665,119.36388338583797,0.019378428571428685,2.412857142857135,124.51252865852196,0.04419199999999979,9.726666666666688,220.10016895969258,1.663573999999997,440.25,264.64106796571764,3.564810999999999,386.2299999999999,108.34515490442551,4.685779999999998,457.30999999999995,97.59527762720404
2025-06-18 03:50:31,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,8,True,False,False,False,True,True,0.04852798039215686,2.9292156862745102,60.361376315341836,0.008720925925925938,1.3144444444444439,150.72303739409227,0.29067000000000043,34.23000000000002,117.76241098152533,0.010684829787234063,1.6163829787234043,151.27830867784283,0.161229333333333,26.693333333333328,165.561270901904,0.008238440000000014,0.09839999999999804,11.944008817203,0.21431766666666618,26.349999999999966,122.94833370401892,0.008352666666666675,2.683333333333337,321.25468912123887,0.1331506666666673,18.66999999999996,140.21709742346917,0.7679299999999998,423.5600000000004,551.5606891253116,3.7597380000000005,431.03,114.64362676335423,4.834312000000001,487.1099999999999,100.7609769497707
2025-06-18 03:59:21,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,8,True,False,False,False,True,True,0.053393196078431376,3.519215686274512,65.91131351464702,0.002639481481481465,0.5992592592592629,227.03673561025175,0.1843629999999994,0.03999999999996362,0.2169632735416746,0.017112212765957424,1.626808510638302,95.06710399689695,0.19415233333333326,15.536666666666633,80.02307466473906,0.004135083333333345,0.2779166666666626,67.20944761290465,0.02680633333333393,5.180000000000007,193.23791641278396,0.04305000000000003,7.269999999999996,168.87340301974427,0.03902766666666668,6.92666666666662,177.48093233005517,1.7875839999999954,435.53999999999996,243.6472915398667,3.696613000000001,382.23,103.40005837776361,4.48921,417.3600000000001,92.96958707656806
2025-06-18 04:08:30,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,8,True,False,False,False,True,True,0.052046019607843164,3.4129411764705893,65.57545038384204,0.0023836666666667283,0.6403703703703734,268.6492953588408,0.49577000000000027,42.10000000000002,84.91840974645501,0.006409208333333305,0.8397916666666703,131.02892322894908,0.19251599999999947,18.526666666666642,96.23442553692522,0.010645041666666577,1.4108333333333363,132.53431762048982,0.15806533333333306,14.21666666666664,89.94171186597946,0.04646866666666627,3.9950000000000045,85.97190938697126,0.06977233333333377,5.073333333333267,72.71267981100296,2.140876999999996,430.28999999999996,200.98772605805974,3.490597000000001,367.1500000000001,105.18258051559661,4.839798999999999,458.93000000000006,94.82418588044672
2025-06-18 04:17:33,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,128c,12,12,10,8,True,False,False,False,True,True,0.04113894230769233,2.6467307692307713,64.33638350337156,0.010987666666666618,1.3092592592592602,119.15716948632704,0.35041299999999964,27.029999999999973,77.13754912060911,0.008185276595744695,0.8140425531914914,99.45205194589151,0.2065615000000003,22.235000000000014,107.64348632247531,0.007137920000000075,0.0367999999999995,5.155563525508708,0.11958266666666617,14.21333333333331,118.85780547905523,0.032167833333333284,4.401666666666671,136.83441533208673,0.06584733333333315,3.2333333333333485,49.10348179121439,2.0074809999999985,448.62000000000035,223.4740951471026,3.8116619999999983,392.05000000000007,102.85539483826221,4.830418999999999,466.6500000000001,96.60652626614797
