Date and Time of Benchmark,CPU Vendor,CPU Model Name,CPU Architecture,CPU Cores,CPU Max MHz,CPU Min MHz,L1d Cache Size,L1i Cache Size,L2 Cache Size,L3 Cache Size,Total DRAM Size,security_standard_level,n,batch_size,depth,num_threads,power_latency_analysis,runtime_analysis,flamegraph_generation,build,compiler_optimizations,cold_caching,CKKS_Add Time,CKKS_Add Energy,CKKS_Add Power,CKKS_Add_Plaintext Time,CKKS_Add_Plaintext Energy,CKKS_Add_Plaintext Power,CKKS_Sub Time,CKKS_Sub Energy,CKKS_Sub Power,CKKS_Sub_Scalar Time,CKKS_Sub_Scalar Energy,CKKS_Sub_Scalar Power,CKKS_Mult Time,CKKS_Mult Energy,CKKS_Mult Power,CKKS_Mult_Plaintext Time,CKKS_Mult_Plaintext Energy,CKKS_Mult_Plaintext Power,CKKS_Mult_Scalar Time,CKKS_Mult_Scalar Energy,CKKS_Mult_Scalar Power,CKKS_Rotate Time,CKKS_Rotate Energy,CKKS_Rotate Power
2025-06-23 10:09:55.436,GenuineIntel,13th Gen Intel(R) Core(TM) i9-13900K,x86_64,32,5800.0000,800.0000,896 KiB (24 instances),1.3 MiB (24 instances),32 MiB (12 instances),36 MiB (1 instance),64039 MB,none,16,12,10,8,True,False,False,True,True,True,0.001189744779582367,0.1134570765661253,95.36253364015755,0.0017495555555555563,0.1738518518518518,99.36915195393533,0.001933059040590406,0.17870848708487086,92.44854054239786,0.0005451477024070025,0.05124726477024072,94.00620151927185,0.054993600000000004,4.087999999999999,74.3359227255535,0.0015192196969696925,0.16628787878787876,109.4561103437274,0.0006188735795454548,0.08133522727272728,131.42462364036564,0.045511833333333335,3.6208333333333327,79.55806365377501
2025-06-23 10:13:10.827,GenuineIntel,13th Gen Intel(R) Core(TM) i9-13900K,x86_64,32,5800.0000,800.0000,896 KiB (24 instances),1.3 MiB (24 instances),32 MiB (12 instances),36 MiB (1 instance),64039 MB,none,16,12,10,8,True,False,False,True,True,True,0.00110390675990676,0.0961072261072261,87.06099971282329,0.0015259160839160863,0.159020979020979,104.21344967599407,0.0017866214285714287,0.17282142857142857,96.73086072275284,0.0004793037974683545,0.05562804284323272,116.0600920273441,0.04307627272727271,4.1409090909090915,96.129698062,0.0019390846153846154,0.2053076923076923,105.8786659843463,0.0006569146853146854,0.07464335664335664,113.6271700298492,0.042582909090909116,3.924545454545453,92.16245527441644
2025-06-23 10:14:28.951,GenuineIntel,13th Gen Intel(R) Core(TM) i9-13900K,x86_64,32,5800.0000,800.0000,896 KiB (24 instances),1.3 MiB (24 instances),32 MiB (12 instances),36 MiB (1 instance),64039 MB,none,16,12,10,8,True,False,False,False,True,True,0.0010435593607305942,0.11358447488584475,108.84332905252697,0.0013362432432432424,0.18729729729729727,140.16706781820764,0.0016776771929824554,0.1706315789473684,101.70703855372302,0.0005174995140913509,0.04770651117589893,92.186581584843,0.04624509090909093,4.092727272727273,88.50079418749111,0.0015472631578947356,0.11180451127819557,72.2595317465718,0.0006128088445078459,0.03574893009985733,58.336184962486506,0.04075127272727272,0.5390909090909091,13.228811593168313
2025-06-23 10:15:47.456,GenuineIntel,13th Gen Intel(R) Core(TM) i9-13900K,x86_64,32,5800.0000,800.0000,896 KiB (24 instances),1.3 MiB (24 instances),32 MiB (12 instances),36 MiB (1 instance),64039 MB,none,16,12,10,8,True,False,False,False,True,True,0.0012075999999999996,0.12190697674418607,100.94979856259201,0.0015111034482758624,0.13455172413793104,89.04203368171237,0.0017158829787234037,0.1870921985815603,109.03552334364586,0.0005274130643611915,0.05538904899135447,105.02024453725333,0.050630181818181824,4.181818181818182,82.59536173177335,0.0024402079999999993,0.1972799999999999,80.84556726311854,0.0008240435413642963,0.07600870827285922,92.23870397311566,0.04266599999999998,4.136666666666665,96.9546399162487
2025-06-23 10:17:05.168,GenuineIntel,13th Gen Intel(R) Core(TM) i9-13900K,x86_64,32,5800.0000,800.0000,896 KiB (24 instances),1.3 MiB (24 instances),32 MiB (12 instances),36 MiB (1 instance),64039 MB,none,16,12,10,8,True,False,False,False,True,True,0.0012034556074766367,0.1225,101.79021082202914,0.0011296824324324353,0.14716216216216205,130.26861172417463,0.0017547173144876315,0.17886925795053005,101.93622441273908,0.0004949156862745099,0.05084313725490196,102.73090682904987,0.04907254545454545,3.795454545454546,77.3437471053987,0.0019516666666666675,0.17833333333333345,91.3748932536294,0.0007358783382789315,0.07735905044510386,105.12478275421289,0.04275166666666669,3.738333333333335,87.44298467895989
2025-06-23 10:18:23.088,GenuineIntel,13th Gen Intel(R) Core(TM) i9-13900K,x86_64,32,5800.0000,800.0000,896 KiB (24 instances),1.3 MiB (24 instances),32 MiB (12 instances),36 MiB (1 instance),64039 MB,none,16,12,10,8,True,False,False,False,True,True,0.0012971142857142858,0.11676190476190479,90.01666703378196,0.0016879347826086934,0.16224637681159426,96.12123553781115,0.001758060070671379,0.17752650176678444,100.97863248722184,0.0006039957939011564,0.052733964248159834,87.30849582172706,0.04884236363636363,3.8918181818181816,79.68120074599919,0.0022765390624999993,0.18539062499999992,81.43529274494932,0.0007569297752808984,0.07449438202247192,98.41650369061897,0.044245249999999986,3.456666666666668,78.12514714385541
2025-06-23 10:21:08.931,GenuineIntel,13th Gen Intel(R) Core(TM) i9-13900K,x86_64,32,5800.0000,800.0000,896 KiB (24 instances),1.3 MiB (24 instances),32 MiB (12 instances),36 MiB (1 instance),64039 MB,none,16,12,10,1,True,False,False,True,True,True,0.0015132135922330094,0.07634304207119738,50.45093598355799,0.002184175438596496,0.07350877192982441,33.65515911902185,0.005070699029126213,0.15174757281553397,29.926361620733626,0.000658823056300268,0.032922252010723865,49.971311258601546,0.110958,4.033999999999999,36.35609870401412,0.0015573400000000112,0.17300000000000004,111.08685322408645,0.0015896822429906539,0.06448598130841121,40.565327814881016,0.08081385714285716,3.588571428571427,44.40539723562258
2025-06-23 10:23:11.993,GenuineIntel,13th Gen Intel(R) Core(TM) i9-13900K,x86_64,32,5800.0000,800.0000,896 KiB (24 instances),1.3 MiB (24 instances),32 MiB (12 instances),36 MiB (1 instance),64039 MB,none,16,12,10,1,True,False,False,False,True,True,0.001646677419354839,0.06206451612903227,37.69075557819264,0.0036675094339622613,0.14264150943396214,38.8932903929457,0.00490818446601942,0.1766990291262135,36.00089408813885,0.0007267631935047362,0.02362652232746955,32.50924446728407,0.08727016666666665,3.871666666666668,44.364148878673724,0.003649720000000009,0.15319999999999978,41.97582280284499,0.0015381392405063284,0.07927215189873416,51.537695555208096,0.0823948571428571,3.6157142857142865,43.88276660817946
2025-06-23 10:25:14.866,GenuineIntel,13th Gen Intel(R) Core(TM) i9-13900K,x86_64,32,5800.0000,800.0000,896 KiB (24 instances),1.3 MiB (24 instances),32 MiB (12 instances),36 MiB (1 instance),64039 MB,none,16,12,10,1,True,False,False,False,True,True,0.0017309448051948048,0.07042207792207791,40.68418456251841,0.0019562372881355844,0.09220338983050858,47.133029510128665,0.004981291262135919,0.19436893203883487,39.01978860707931,0.0006460229419703103,0.03323886639676113,51.45152631172146,0.0896251666666667,3.790000000000001,42.287229591390805,0.003912319999999997,0.12339999999999995,31.541387207590393,0.0015440000000000002,0.062198142414860685,40.28377099408075,0.08580514285714286,3.6485714285714277,42.52159377726276
2025-06-23 10:27:17.711,GenuineIntel,13th Gen Intel(R) Core(TM) i9-13900K,x86_64,32,5800.0000,800.0000,896 KiB (24 instances),1.3 MiB (24 instances),32 MiB (12 instances),36 MiB (1 instance),64039 MB,none,16,12,10,1,True,False,False,False,True,True,0.0016974483870967737,0.07816129032258062,46.04634280295472,0.001722711864406784,0.047118644067796644,27.351436442345484,0.005185469999999998,0.17120000000000002,33.015329372265214,0.0006433594594594597,0.031243243243243235,48.5626546464294,0.08766449999999998,3.75,42.776722618619864,0.0032660200000000014,0.12380000000000035,37.905462918169604,0.0014816397515527956,0.06807453416149067,45.94540210611038,0.08022457142857137,3.427142857142856,42.71936635017418
