security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Mult,CKKS_Mult_Plaintext,CKKS_Rotate,CKKS_Add_count,CKKS_Mult_count,CKKS_Mult_Plaintext_count,CKKS_Rotate_count,CKKS_Add_contribution,CKKS_Mult_Plaintext_contribution,CKKS_Rotate_contribution,CKKS_Mult_contribution,estimated_Energy
none,16,3,1,0.0174425059476605,1.842941176470588,0.0643333333333333,1.71,5,5,5,5,40.798021411577906,149.76799999999992,660.06,22.115294117647057,872.7413155292248
none,16,3,2,0.0553484848484848,1.5354166666666669,0.112112676056338,1.3719230769230768,5,5,5,5,129.46010606060594,260.99830985915486,529.5623076923076,18.425000000000004,938.4457236120684
none,16,3,4,0.0482826948480845,1.32,0.0848471615720524,1.2352941176470589,5,5,5,5,112.93322324966964,197.52419213973798,476.82352941176475,15.84,803.1209448011724
none,16,3,8,0.0468774703557312,1.5925806451612905,0.0856086956521738,1.4328571428571428,5,5,5,5,109.64640316205528,199.2970434782606,553.0828571428572,19.110967741935486,881.1372715251085
none,16,3,16,0.0471014492753623,1.6696666666666664,0.0878695652173913,1.471428571428571,5,5,5,5,110.17028985507241,204.56034782608694,567.9714285714284,20.035999999999998,902.7380662525877
none,16,3,32,0.0534920634920635,1.6216129032258064,0.0728138528138527,1.437714285714286,5,5,5,5,125.11793650793653,169.5106493506491,554.9577142857144,19.45935483870968,869.0456549830096
none,16,6,1,0.0376181818181818,3.5737500000000004,0.1434328358208956,4.13875,5,5,5,5,87.98892727272724,333.911641791045,1597.5575,42.885000000000005,2062.3430690637724
none,16,6,2,0.0838532110091742,3.600999999999999,0.1555913978494625,3.372727272727273,5,5,5,5,196.13266055045847,362.2167741935487,1301.8727272727274,43.21199999999999,1903.4341620167345
none,16,6,4,0.0679375,3.270833333333334,0.1472727272727273,2.96,5,5,5,5,158.9058125,342.85090909090917,1142.56,39.25000000000001,1683.566721590909
none,16,6,8,0.0776757812499999,3.2540000000000004,0.1269948186528496,2.9858823529411778,5,5,5,5,181.68365234374974,295.6439378238338,1152.5505882352945,39.048,1668.9261784028781
none,16,6,16,0.0864440078585461,3.516666666666665,0.1108290155440413,2.9529411764705875,5,5,5,5,202.19253438113932,258.00994818652816,1139.8352941176468,42.199999999999974,1642.2377766853144
none,16,6,32,0.0931225296442688,3.299333333333335,0.1138541666666667,2.929999999999999,5,5,5,5,217.81359683794471,265.05250000000007,1130.9799999999996,39.59200000000002,1653.4380968379444
