security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Mult,CKKS_Mult_Plaintext,CKKS_Rotate,CKKS_Add_count,CKKS_Mult_count,CKKS_Mult_Plaintext_count,CKKS_Rotate_count,CKKS_Add_contribution,CKKS_Mult_Plaintext_contribution,CKKS_Rotate_contribution,CKKS_Mult_contribution,estimated_Time
none,16,3,1,0.000204576709062,0.0298967647058823,0.001029025,0.0284805555555555,5,5,5,5,0.016570713434022,0.0082322,2.2499638888888844,0.3587611764705876,2.633527978793494
none,16,3,2,0.0007587549167927,0.0210236666666666,0.0017570985915492,0.0193681481481481,5,5,5,5,0.0614591482602087,0.0140567887323936,1.5300837037036998,0.2522839999999992,1.8578836406963015
none,16,3,4,0.0006580553359683,0.0170356666666666,0.0011069264069264,0.0146835294117647,5,5,5,5,0.0533024822134323,0.0088554112554112,1.1599988235294112,0.20442799999999917,1.426584716998254
none,16,3,8,0.0006542490118577,0.0165111612903225,0.0011173782608695,0.0144805555555555,5,5,5,5,0.0529941699604737,0.008939026086956,1.1439638888888846,0.19813393548386998,1.4040310204201842
none,16,3,16,0.0006621256613756,0.0169265161290322,0.0011024848484848,0.0145589722222222,5,5,5,5,0.0536321785714236,0.0088198787878784,1.1501588055555538,0.2031181935483864,1.415729056463242
none,16,3,32,0.0006883682119205,0.0166599,0.0010438917748917,0.0144300571428571,5,5,5,5,0.0557578251655605,0.0083511341991336,1.139974514285711,0.19991879999999998,1.4040022736504052
none,16,6,1,0.000470255358807,0.065318625,0.0021928358208955,0.063513625,5,5,5,5,0.038090684063367,0.017542686567164,5.017576375,0.7838235,5.8570332456305305
none,16,6,2,0.0011668509174311,0.0521741,0.0024464367816091,0.0475264545454545,5,5,5,5,0.09451492431191909,0.0195714942528728,3.7545899090909054,0.6260892,4.494765527655698
none,16,6,4,0.001027667368421,0.0435095833333333,0.0018263409090909,0.0384526428571428,5,5,5,5,0.083241056842101,0.0146107272727272,3.0377587857142814,0.5221149999999997,3.6577255698291093
none,16,6,8,0.0009208470588235,0.0348945333333333,0.0014263005181347,0.0305418235294117,5,5,5,5,0.07458861176470351,0.0114104041450776,2.4128040588235242,0.41873439999999956,2.917537474733305
none,16,6,16,0.0010158831683168,0.0360565333333333,0.0013586373056994,0.030244,5,5,5,5,0.0822865366336608,0.0108690984455952,2.389276,0.4326783999999996,2.915110035079256
none,16,6,32,0.0010850395256917,0.0346760666666666,0.0013573298969072,0.0301872352941176,5,5,5,5,0.0878882015810277,0.0108586391752576,2.3847915882352906,0.4161127999999992,2.899651228991575
