security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Mult,CKKS_Mult_Plaintext,CKKS_Rotate,CKKS_Add_count,CKKS_Mult_count,CKKS_Mult_Plaintext_count,CKKS_Rotate_count,CKKS_Add_contribution,CKKS_Mult_Plaintext_contribution,CKKS_Rotate_contribution,CKKS_Mult_contribution,estimated_Energy
none,16,3,1,0.0174425059476605,1.842941176470588,0.0643333333333333,1.71,5,5,5,5,1.4128429817605004,0.5146666666666664,135.09,22.115294117647057,159.13280376607423
none,16,3,2,0.0553484848484848,1.5354166666666669,0.112112676056338,1.3719230769230768,5,5,5,5,4.483227272727269,0.896901408450704,108.38192307692307,18.425000000000004,132.18705175810106
none,16,3,4,0.0482826948480845,1.32,0.0848471615720524,1.2352941176470589,5,5,5,5,3.9108982826948444,0.6787772925764192,97.58823529411765,15.84,118.01791086938891
none,16,3,8,0.0468774703557312,1.5925806451612905,0.0856086956521738,1.4328571428571428,5,5,5,5,3.797075098814227,0.6848695652173904,113.19571428571429,19.110967741935486,136.7886266916814
none,16,3,16,0.0471014492753623,1.6696666666666664,0.0878695652173913,1.471428571428571,5,5,5,5,3.8152173913043463,0.7029565217391304,116.24285714285712,20.035999999999998,140.7970310559006
none,16,3,32,0.0534920634920635,1.6216129032258064,0.0728138528138527,1.437714285714286,5,5,5,5,4.332857142857144,0.5825108225108216,113.5794285714286,19.45935483870968,137.95415137550623
none,16,6,1,0.0376181818181818,3.5737500000000004,0.1434328358208956,4.13875,5,5,5,5,3.047072727272726,1.1474626865671649,326.96125,42.885000000000005,374.0407854138399
none,16,6,2,0.0838532110091742,3.600999999999999,0.1555913978494625,3.372727272727273,5,5,5,5,6.79211009174311,1.2447311827957,266.4454545454546,43.21199999999999,317.6942958199934
none,16,6,4,0.0679375,3.270833333333334,0.1472727272727273,2.96,5,5,5,5,5.5029375,1.1781818181818184,233.84,39.25000000000001,279.77111931818183
none,16,6,8,0.0776757812499999,3.2540000000000004,0.1269948186528496,2.9858823529411778,5,5,5,5,6.291738281249992,1.0159585492227967,235.88470588235305,39.048,282.2404027128258
none,16,6,16,0.0864440078585461,3.516666666666665,0.1108290155440413,2.9529411764705875,5,5,5,5,7.001964636542234,0.8866321243523304,233.2823529411764,42.199999999999974,283.37094970207096
none,16,6,32,0.0931225296442688,3.299333333333335,0.1138541666666667,2.929999999999999,5,5,5,5,7.542924901185772,0.9108333333333336,231.4699999999999,39.59200000000002,279.51575823451907
