security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Mult,CKKS_Mult_Plaintext,CKKS_Rotate,CKKS_Add_count,CKKS_Mult_count,CKKS_Mult_Plaintext_count,CKKS_Rotate_count,CKKS_Add_contribution,CKKS_Mult_Plaintext_contribution,CKKS_Rotate_contribution,CKKS_Mult_contribution,estimated_Time
none,16,3,1,0.000204576709062,0.0298967647058823,0.001029025,0.0284805555555555,5,5,5,5,0.478504922496018,2.3955702,10.993494444444423,0.3587611764705876,14.226330743411028
none,16,3,2,0.0007587549167927,0.0210236666666666,0.0017570985915492,0.0193681481481481,5,5,5,5,1.7747277503781251,4.090525521126538,7.476105185185166,0.2522839999999992,13.593642456689828
none,16,3,4,0.0006580553359683,0.0170356666666666,0.0011069264069264,0.0146835294117647,5,5,5,5,1.5391914308298538,2.5769246753246593,5.667842352941174,0.20442799999999917,9.988386459095686
none,16,3,8,0.0006542490118577,0.0165111612903225,0.0011173782608695,0.0144805555555555,5,5,5,5,1.5302884387351603,2.601256591304196,5.589494444444423,0.19813393548386998,9.91917340996765
none,16,3,16,0.0006621256613756,0.0169265161290322,0.0011024848484848,0.0145589722222222,5,5,5,5,1.5487119219575283,2.5665847272726143,5.6197632777777695,0.2031181935483864,9.938178120556298
none,16,3,32,0.0006883682119205,0.0166599,0.0010438917748917,0.0144300571428571,5,5,5,5,1.6100932476820495,2.4301800519478776,5.570002057142841,0.19991879999999998,9.810194156772768
none,16,6,1,0.000470255358807,0.065318625,0.0021928358208955,0.063513625,5,5,5,5,1.099927284249573,5.104921791044725,24.51625925,0.7838235,31.5049318252943
none,16,6,2,0.0011668509174311,0.0521741,0.0024464367816091,0.0475264545454545,5,5,5,5,2.7292642958713427,5.695304827585985,18.345211454545435,0.6260892,27.395869778002762
none,16,6,4,0.001027667368421,0.0435095833333333,0.0018263409090909,0.0384526428571428,5,5,5,5,2.403713974736719,4.251721636363615,14.842720142857122,0.5221149999999997,22.020270753957455
none,16,6,8,0.0009208470588235,0.0348945333333333,0.0014263005181347,0.0305418235294117,5,5,5,5,2.1538612705881666,3.3204276062175815,11.789143882352917,0.41873439999999956,17.682167159158663
none,16,6,16,0.0010158831683168,0.0360565333333333,0.0013586373056994,0.030244,5,5,5,5,2.376150730692995,3.162907647668203,11.674184,0.4326783999999996,17.645920778361198
none,16,6,32,0.0010850395256917,0.0346760666666666,0.0013573298969072,0.0301872352941176,5,5,5,5,2.5379074505928862,3.1598639999999616,11.652272823529394,0.4161127999999992,17.76615707412224
