security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Mult,CKKS_Mult_Plaintext,CKKS_Rotate,CKKS_Add_count,CKKS_Mult_count,CKKS_Mult_Plaintext_count,CKKS_Rotate_count,CKKS_Add_contribution,CKKS_Mult_Plaintext_contribution,CKKS_Rotate_contribution,CKKS_Mult_contribution,estimated_Time
none,16,3,1,0.0003742183150183,0.0255467999999999,0.0008883309859154,0.0227914999999999,5,5,5,5,0.8752966388278037,2.0680345352110514,8.79751899999996,0.3065615999999988,12.047411774038814
none,16,3,2,0.0003778454613653,0.0170399999999999,0.0007082714285714,0.0153429999999999,5,5,5,5,0.8837805341334367,1.648855885714219,5.922397999999961,0.20447999999999877,8.659514419847616
none,16,3,4,0.0003616477354421,0.0171431666666666,0.0005464545454545,0.0151686363636363,5,5,5,5,0.845894053199072,1.272146181818076,5.855093636363613,0.20571799999999918,8.17885187138076
none,16,3,8,0.0003669028571428,0.0164752580645161,0.0005471896024464,0.015303794117647,5,5,5,5,0.8581857828570092,1.2738573944952192,5.9072645294117425,0.1977030967741932,8.237010803538164
none,16,3,16,0.0003576133428981,0.0167127666666666,0.0005136920731707,0.0150607647058823,5,5,5,5,0.836457609038656,1.1958751463413897,5.813455176470567,0.2005531999999992,8.046341131850612
none,16,3,32,0.0003613042857142,0.0169456451612903,0.0005564584615384,0.0148850294117647,5,5,5,5,0.8450907242855138,1.295435298461395,5.745621352941174,0.2033477419354836,8.089495117623565
none,16,6,1,0.0007522218844984,0.0556894444444444,0.0018649746835443,0.0524815,5,5,5,5,1.7594469878417578,4.341661063291131,20.257859,0.6682733333333328,27.027240384466218
none,16,6,2,0.0007277018544935,0.0407990769230769,0.001406375,0.0374750769230769,5,5,5,5,1.7020946376602966,3.274041,14.465379692307684,0.4895889230769228,19.931104253044904
none,16,6,4,0.0006595994764397,0.0379972857142857,0.0011409425287356,0.0318278749999999,5,5,5,5,1.5428031753924583,2.656114206896477,12.285559749999962,0.45596742857142836,16.94044456086033
none,16,6,8,0.0006324417721518,0.0359257333333333,0.0009658266129032,0.0320330625,5,5,5,5,1.4792813050630602,2.2484443548386497,12.364762125,0.4311087999999996,16.52359658490171
none,16,6,16,0.0006471498079385,0.0355712666666666,0.000875464,0.0309188124999999,5,5,5,5,1.5136834007681517,2.038080192,11.934661624999961,0.4268551999999992,15.91328041776811
none,16,6,32,0.0006555714285714,0.0350912,0.0008862182539682,0.03176825,5,5,5,5,1.5333815714285046,2.0631160952379695,12.262544499999999,0.42109440000000004,16.280136566666474
