security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Mult,CKKS_Mult_Plaintext,CKKS_Rotate,CKKS_Add_count,CKKS_Mult_count,CKKS_Mult_Plaintext_count,CKKS_Rotate_count,CKKS_Add_contribution,CKKS_Mult_Plaintext_contribution,CKKS_Rotate_contribution,CKKS_Mult_contribution,estimated_Energy
none,16,3,1,0.0184037900874635,1.0825,0.0428169014084507,0.9940909090909092,5,5,5,5,43.04646501457713,99.67774647887323,383.719090909091,12.99,539.4333024025414
none,16,3,2,0.0226472781506338,0.7983333333333333,0.0294323144104803,0.7291176470588236,5,5,5,5,52.97198359433246,68.51842794759814,281.43941176470594,9.58,412.5098233066365
none,16,3,4,0.0258114812189936,1.056774193548387,0.0426934984520123,0.9381818181818184,5,5,5,5,60.373054571226035,99.39046439628463,362.1381818181819,12.681290322580644,534.5829911082732
none,16,3,8,0.0266283249460819,1.2183333333333333,0.0423076923076922,1.105294117647059,5,5,5,5,62.283652048885564,98.49230769230743,426.64352941176475,14.62,602.0394891529578
none,16,3,16,0.0252602739726027,1.2451612903225806,0.0429239766081871,1.091470588235294,5,5,5,5,59.08378082191771,99.92701754385956,421.3076470588235,14.941935483870967,595.2603809084718
none,16,3,32,0.0259477124183006,1.3193548387096774,0.0435190615835777,1.1491176470588236,5,5,5,5,60.6916993464051,101.31237536656889,443.5594117647059,15.832258064516129,621.395744542196
none,16,6,1,0.0333923303834808,2.1388888888888884,0.0817948717948717,1.891,5,5,5,5,78.10466076696159,190.41846153846132,729.926,25.66666666666666,1024.1157889720896
none,16,6,2,0.0376453900709219,1.968461538461538,0.0740833333333333,1.7564285714285717,5,5,5,5,88.05256737588633,172.46599999999995,677.9814285714286,23.621538461538456,962.1215344088533
none,16,6,4,0.0435424836601307,2.3742857142857146,0.0851149425287356,2.214375,5,5,5,5,101.84586928104571,198.14758620689648,854.74875,28.491428571428575,1183.2336340593706
none,16,6,8,0.0556835443037974,2.8720000000000003,0.0905645161290322,2.521176470588236,5,5,5,5,130.2438101265821,210.83419354838696,973.1741176470591,34.464000000000006,1348.7161213220281
none,16,6,16,0.0578617157490396,2.987333333333333,0.09436,2.7435294117647056,5,5,5,5,135.33855313700363,219.67007999999998,1059.0023529411762,35.848,1449.85898607818
none,16,6,32,0.0570775095298602,2.945333333333333,0.0975,2.6143750000000003,5,5,5,5,133.504294790343,226.98000000000002,1009.1487500000002,35.343999999999994,1404.9770447903434
