Function,Sample Count,Percentage of Time (%)
EvalMult,28829253736,2.63
EvalAdd,5423664964,0.50
EvalRotate,13184213956,1.20
EvalBootstrap,738257385618,67.39
EvalSub,2329965078,0.21
EvalLogistic,123085353244,11.24
other,0,0.00
