security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Bootstrap,CKKS_Logistic,CKKS_Mult,CKKS_Mult_Plaintext,CKKS_Rotate,CKKS_Sub,CKKS_Add_count,CKKS_Bootstrap_count,CKKS_Logistic_count,CKKS_Mult_count,CKKS_Mult_Plaintext_count,CKKS_Rotate_count,CKKS_Sub_count,CKKS_Mult_Plaintext_contribution,CKKS_Add_contribution,CKKS_Rotate_contribution,CKKS_Bootstrap_contribution,CKKS_Sub_contribution,CKKS_Mult_contribution,CKKS_Logistic_contribution,estimated_Time
128c,12,10,1,0.0426792536815782,21.1445925,12.757788999999999,0.41710000000000047,0.0519047499999999,0.16688700000000084,0.0163698571428571,4,4,4,4,4,4,4,2.076189999999996,1.6644908935815497,3.337740000000017,190.3013325,0.3110272857142849,3.7539000000000042,127.57789,329.0225706792959
128c,12,10,32,0.0355657692307691,1.684004999999999,1.841311000000001,0.1402983333333338,0.0046456896551724,0.0344483333333327,0.001536,3,3,3,3,3,3,3,0.18582758620689602,1.3870649999999949,0.688966666666654,15.156044999999992,0.029184,1.2626850000000043,18.41311000000001,37.12288325287355
128c,12,14,1,0.1647402978723405,34.31618,16.807047,0.8698000000000015,0.0416959999999999,0.7453959999999995,0.0094285555555555,3,3,3,3,3,3,3,1.667839999999996,6.42487161702128,14.90791999999999,308.84562000000005,0.17914255555555453,7.828200000000013,168.07047,507.9240641725769
128c,12,14,32,0.2269101951219512,11.035083999999998,4.601355999999999,0.3641575000000001,0.0150444444444444,0.211863666666666,0.0050034999999999,3,3,3,3,3,3,3,0.601777777777776,8.849497609756098,4.23727333333332,99.31575599999998,0.09506649999999811,3.2774175000000008,46.01355999999999,162.39034872086717
none,16,10,1,0.0033970367647058,12.777409,6.701579000000001,0.3119775000000002,0.0090118823529411,0.2695334999999996,0.0129544222222222,3,3,3,3,3,3,3,0.360475294117644,0.1324844338235262,5.390669999999992,114.99668100000001,0.24613402222222178,2.8077975000000017,67.01579000000001,190.95003225016342
none,16,10,32,0.0046539174311926,4.572085,2.281967,0.1116386,0.0057593103448275,0.1098633999999998,0.0044092300884955,3,3,3,3,3,3,3,0.2303724137931,0.18150277981651142,2.1972679999999962,41.148765000000004,0.0837753716814145,1.0047474,22.81967,67.66610096529102
none,16,14,1,0.0034561592920353,16.178096999999998,8.125207999999999,0.3273229999999998,0.0094075714285714,0.2914555000000001,0.0136361315789473,3,3,3,3,3,3,3,0.37630285714285605,0.1347902123893767,5.829110000000002,145.602873,0.2590864999999987,2.9459069999999983,81.25207999999999,236.40014956953223
none,16,14,32,0.0056350217391304,5.942724999999999,2.679569,0.12979275,0.0067303921568627,0.1179908,0.0079472282608695,3,3,3,3,3,3,3,0.269215686274508,0.2197658478260856,2.3598160000000004,53.48452499999999,0.1509973369565205,1.16813475,26.79569,84.44814462105711
