Date and Time of Benchmark,CPU Vendor,CPU Model Name,CPU Architecture,CPU Cores,CPU Max MHz,CPU Min MHz,L1d Cache Size,L1i Cache Size,L2 Cache Size,L3 Cache Size,Total DRAM Size,security_standard_level,n,batch_size,depth,num_threads,power_latency_analysis,runtime_analysis,flamegraph_generation,build,compiler_optimizations,cold_caching,CKKS_Add Time,CKKS_Add Energy,CKKS_Add Power,CKKS_Sub Time,CKKS_Sub Energy,CKKS_Sub Power,CKKS_MultNoRelin Time,CKKS_MultNoRelin Energy,CKKS_MultNoRelin Power,CKKS_Mult_Plaintext Time,CKKS_Mult_Plaintext Energy,CKKS_Mult_Plaintext Power,CKKS_Mult_Scalar Time,CKKS_Mult_Scalar Energy,CKKS_Mult_Scalar Power,CKKS_Rotate Time,CKKS_Rotate Energy,CKKS_Rotate Power,CKKS_ModReduce Time,CKKS_ModReduce Energy,CKKS_ModReduce Power,CKKS_LevelReduce Time,CKKS_LevelReduce Energy,CKKS_LevelReduce Power
2025-06-22 15:01:23.518,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,3,1,True,False,False,True,True,True,0.0002009133763094279,0.01618855761482675,80.57481244999167,0.0014412770083102493,0.09894736842105264,68.65256841712778,0.002138527426160338,0.13818565400843888,64.61719981611229,0.0009302499999999988,0.05088709677419362,54.70260335844524,0.0005447058212058212,0.03931392931392931,72.17460835446855,0.02772677777777778,1.6750000000000003,60.41091443890984,0.0009222352941176404,0.07235294117647051,78.45388442403416,0.0014451764705882275,0.021176470588235574,14.653207424292034
2025-06-22 15:01:49.195,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,3,1,True,False,False,False,True,True,0.0002040777733912357,0.017465455981050138,85.58235270220861,0.0013767216216216216,0.09289189189189188,67.47325707173523,0.002183195744680851,0.1327659574468085,60.81266774648134,0.0009107950819672132,0.052704918032786874,57.8669330525482,0.0005292445595854922,0.03780310880829016,71.42843157027028,0.02807694736842105,1.6752631578947366,59.66685537114171,0.0008295882352941097,0.008823529411764675,10.63603488619449,0.0008223529411764546,0.0352941176470587,42.918454935623
2025-06-22 15:02:14.571,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,3,1,True,False,False,False,True,True,0.00018726909788867565,0.01637619961612284,87.44742085454946,0.0013827829670329673,0.09208791208791207,66.59607059342422,0.0019688305785123964,0.12206611570247936,61.999298992354,0.0010799666666666662,0.06074999999999997,56.25173616469644,0.0005331576763485478,0.037697095435684655,70.70534123012507,0.02909366666666667,1.8161111111111108,62.42290227349975,0.0005555882352941272,0.03058823529411825,55.0555849655904,2.2235294117656235e-05,0.005294117647059338,238.09523809516296
2025-06-22 15:02:39.649,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,3,1,True,False,False,False,True,True,0.00020277683956574185,0.01697225572979493,83.69918263911195,0.0013607355371900826,0.09198347107438018,67.59834557148845,0.002080387234042553,0.12136170212765954,58.3361117304266,0.001055258333333333,0.059833333333333294,56.70017610221824,0.0005407372793354102,0.03835929387331257,70.93887427265571,0.028601888888888892,1.7561111111111112,61.39843133903355,0.0005747647058823441,0.0017647058823531125,3.0703101013205787,0.0002891176470588147,0.0347058823529407,120.04069175992062
2025-06-22 15:03:05.177,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,3,1,True,False,False,False,True,True,0.0002001249008723236,0.016716891356066615,83.53229050057952,0.0013635164835164837,0.09247252747252747,67.81914893617021,0.002235584745762712,0.14220338983050845,63.60903566730729,0.0010226166666666668,0.06708333333333327,65.59968707726902,0.0005350010373443983,0.03760373443983401,70.28721780893896,0.028802611111111112,1.8194444444444446,63.16942715455968,0.0005298235294117631,0.032941176470588474,62.173864771844755,0.00016364705882353225,0.05117647058823582,312.72465851904883
2025-06-22 15:03:26.612,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,3,2,True,False,False,False,True,True,0.0007442242152466367,0.04802690582959641,64.53284486810233,0.001080054393305439,0.08418410041841005,77.944315527267,0.002519092233009709,0.16189320388349512,64.26648526881118,0.0018391985815602837,0.13652482269503546,74.23060460345432,0.0006064929742388758,0.04251756440281031,70.10396856809122,0.019681730769230767,1.3926923076923077,70.76066246519127,4.8583333333331036e-05,0.027499999999999858,566.0377358490805,6.087500000000884e-05,0.06708333333333316,1101.9849418205079
2025-06-22 15:03:47.990,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,3,2,True,False,False,False,True,True,0.0007636874051593323,0.05461305007587253,71.51230949589683,0.0010341120331950205,0.08114107883817427,78.46449536756535,0.0024362918660287085,0.1730622009569378,71.03508547973722,0.0014963032258064508,0.0936774193548387,62.605906168751396,0.0005884611819235224,0.04293163383545771,72.95576183143578,0.019126555555555556,1.3425925925925926,70.1952104597641,0.00014007692307691638,0.021923076923077378,156.50741350907168,0.00047566666666667284,0.12458333333333371,261.91310441485376
2025-06-22 15:04:09.015,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,3,2,True,False,False,False,True,True,0.0007710727272727275,0.052651515151515144,68.28346184379099,0.0010264707112970712,0.0756694560669456,73.71808589777295,0.0024074714285714283,0.15895238095238096,66.02461780686713,0.0015849929078014186,0.10510638297872338,66.3134721053856,0.0005927344827586208,0.044252873563218394,74.65884784914645,0.019024962962962966,1.3877777777777782,72.94509747427358,0.00010745833333333787,0.006666666666666821,62.039550213259766,0.0006188333333333393,0.07249999999999979,117.15593859412726
2025-06-22 15:04:30.192,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,3,2,True,False,False,False,True,True,0.0007658069381598794,0.05276018099547512,68.894885076714,0.0010580643153526971,0.0796265560165975,75.25682027188927,0.002482890476190476,0.16928571428571423,68.18090282639088,0.0018944184397163121,0.13191489361702124,69.6334510113697,0.0005874741676234215,0.04375430539609644,74.47868826828743,0.019266807692307687,1.4,72.66382798635358,0.0004819166666666652,0.02833333333333332,58.793014006571134,0.0006309166666666685,0.06791666666666663,107.64760269449177
2025-06-22 15:04:51.317,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0000,400.0000,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,16,12,3,2,True,False,False,False,True,True,0.0007406990881458967,0.05135258358662614,69.3298863309943,0.0010439435146443513,0.08234309623430962,78.87696516066974,0.0024358851674641155,0.16339712918660287,67.07915930072676,0.0017508661971831,0.1064788732394365,60.81496884841697,0.000570653935185185,0.04262731481481481,74.69906397996128,0.019412923076923078,1.403846153846154,72.31503201673746,4.025000000000556e-05,0.017083333333332895,424.4306418218767,0.0004793750000000041,0.05750000000000011,119.94784876140729
